polling station,,,,,,,,,,,,,valid,rejected,nota,total,tendered
23,10,353,82,3,0,0,1,3,3,7,9,14,485,0,23,508,0
24,9,394,199,5,1,1,0,4,0,3,3,2,621,0,11,632,0
25,15,447,78,5,1,1,1,4,6,10,9,8,585,0,25,610,0
26,8,453,134,2,1,0,1,0,0,0,4,1,604,0,1,605,0
27,6,682,60,0,2,1,1,1,1,0,2,3,759,0,6,765,0
28,8,388,47,4,0,0,0,0,1,0,7,7,462,0,11,473,0
29,17,450,51,0,2,0,1,3,1,1,3,5,534,0,23,557,0
30,7,555,100,4,0,1,1,1,2,3,9,9,692,0,23,715,0
31,5,440,102,0,0,1,0,0,1,4,7,6,566,0,16,582,0
32,13,534,93,5,3,0,1,4,1,4,3,7,668,0,26,694,0
33,14,454,64,1,0,0,0,1,0,2,8,15,559,0,25,584,0
34,12,300,121,5,2,2,2,0,1,3,10,13,471,0,27,498,0
35,17,390,60,2,1,2,1,1,1,2,1,10,488,0,4,492,0
36,13,424,90,1,2,1,2,2,3,5,18,25,586,0,25,611,0
37,10,496,80,2,1,1,1,2,1,2,6,20,622,0,30,652,0
38,1,294,85,1,0,2,0,0,0,2,4,6,395,0,14,409,0
39,12,452,188,2,0,0,0,0,1,5,14,22,696,0,31,727,0
40,6,500,201,5,3,3,0,1,4,5,10,21,759,0,22,781,0
41,13,550,113,2,2,1,1,0,2,2,3,6,695,0,10,705,0
42,4,308,120,3,1,0,0,2,0,4,11,9,462,0,25,487,0
43,4,350,92,1,1,0,0,2,2,4,7,9,472,0,22,494,0
44,10,379,32,1,1,0,2,3,3,7,13,16,467,0,20,487,0
45,11,518,47,1,0,0,0,2,0,2,7,14,602,0,29,631,0
46,10,414,91,2,0,0,2,1,1,1,4,5,531,0,33,564,0
47,6,497,73,1,1,0,0,1,1,2,12,10,604,0,9,613,0
48,11,343,174,5,0,0,2,2,3,3,4,11,558,0,19,577,0
49,16,474,75,0,0,0,0,1,0,4,6,16,592,0,28,620,0
50,23,462,25,1,0,0,0,1,0,3,15,10,540,0,24,564,0
51,10,521,118,2,1,1,0,0,3,4,10,4,674,0,8,682,0
52,12,341,27,2,2,0,3,1,2,4,9,13,416,0,28,444,0
53,5,490,19,2,0,0,0,0,0,0,1,9,526,0,11,537,0
54,5,418,29,0,1,0,0,1,1,4,6,18,483,0,14,497,0
55,5,281,143,3,0,3,0,0,5,5,10,8,463,0,14,477,0
56,15,400,76,3,0,0,0,1,2,5,10,9,521,0,40,561,0
57,8,247,297,3,0,1,1,2,5,6,10,14,594,0,42,636,0
58,16,328,153,2,1,0,0,1,0,3,6,21,531,0,17,548,0
59,10,208,82,2,2,0,1,2,4,7,16,21,355,0,52,407,0
60,5,180,14,0,1,0,0,0,0,2,1,4,207,0,1,208,0
61,9,545,122,4,3,0,2,1,3,2,4,4,699,0,28,727,0
62,10,519,41,4,0,0,1,2,0,1,2,3,583,0,15,598,0
63,20,618,66,5,6,1,1,3,2,5,6,5,738,0,22,760,0
64,10,486,38,1,0,3,2,4,5,3,10,7,569,0,32,601,0
65,20,299,99,6,2,1,2,4,5,8,4,23,473,0,57,530,0
66,14,473,80,3,2,2,0,1,0,10,9,15,609,0,32,641,0
67,7,259,163,0,1,0,0,1,1,0,8,4,444,0,18,462,0
68,10,451,45,4,2,0,1,0,4,9,17,8,551,0,20,571,0
69,13,580,98,2,0,0,2,0,1,2,8,17,723,0,18,741,0
70,8,499,70,0,0,0,1,1,3,1,6,24,613,0,12,625,0
71,10,722,53,3,0,0,2,1,1,0,3,6,801,0,15,816,0
72,5,347,22,1,3,0,1,0,0,4,12,15,410,0,26,436,0
73,8,423,30,0,0,0,1,4,0,1,9,11,487,0,15,502,0
74,14,528,64,1,0,0,0,0,1,3,7,9,627,0,10,637,0
75,3,338,71,2,0,0,2,0,1,0,6,9,432,0,5,437,0
76,11,605,174,4,1,0,2,3,3,5,9,7,824,0,21,845,0
77,7,614,36,0,0,2,0,0,1,0,4,8,672,0,6,678,0
78,5,228,164,2,0,1,0,1,2,6,1,10,420,0,8,428,0
79,12,352,96,1,1,0,1,0,3,3,8,7,484,0,7,491,0
80,6,265,102,2,1,0,0,3,1,1,3,4,388,0,9,397,0
81,11,355,61,2,0,0,0,3,1,1,4,6,444,0,10,454,0
82,12,202,158,6,2,1,2,0,2,9,10,8,412,0,29,441,0
83,0,425,23,0,0,1,0,0,0,1,6,2,458,0,2,460,0
84,5,213,173,2,1,0,0,1,1,3,4,7,410,0,19,429,0
85,3,302,67,2,0,0,0,0,0,0,7,8,389,0,11,400,0
86,8,510,32,0,0,0,0,0,0,0,3,8,561,0,18,579,0
87,8,445,40,1,0,0,0,0,0,1,0,4,499,0,5,504,0
88,5,431,83,3,0,0,0,1,1,0,2,3,529,0,3,532,0
89,19,544,91,0,2,0,1,2,5,0,13,31,708,0,41,749,0
90,4,537,78,2,3,0,0,0,0,0,2,5,631,0,10,641,0
91,6,375,46,1,0,0,0,1,1,0,1,1,432,0,3,435,0
92,8,336,100,1,1,0,1,1,2,0,0,2,452,0,4,456,0
93,10,656,60,3,3,1,1,3,2,2,18,7,766,0,26,792,0
94,9,610,58,0,0,0,1,1,1,2,13,13,708,0,17,725,0
95,6,364,156,3,0,0,1,4,3,4,4,6,551,0,12,563,0
96,1,444,29,0,0,0,0,0,0,1,1,2,478,0,3,481,0
97,2,390,51,4,0,1,1,2,1,3,8,7,470,0,10,480,0
98,9,329,85,1,0,1,2,1,2,4,18,12,464,0,16,480,0
99,17,305,405,5,1,0,2,2,1,2,4,9,753,0,23,776,0
100,11,469,222,2,1,1,0,3,0,0,16,13,738,0,19,757,0
101,6,599,84,0,1,0,0,1,2,2,12,22,729,0,36,765,0
102,1,346,132,4,1,1,0,0,1,3,2,0,491,0,4,495,0
103,8,335,113,8,0,0,0,2,0,3,6,7,482,0,17,499,0
104,8,266,179,1,0,0,1,3,2,6,10,17,493,0,11,504,0
105,3,329,105,1,1,2,1,0,2,2,8,7,461,0,9,470,0
106,6,486,63,6,0,1,0,2,5,1,9,16,595,0,38,633,0
107,17,448,70,1,0,1,3,2,4,3,2,6,557,0,11,568,0
108,10,353,89,5,1,1,1,0,3,1,7,10,481,0,20,501,0
109,13,377,171,0,1,0,2,1,1,4,5,8,583,0,7,590,0
110,13,384,69,2,2,1,0,2,0,0,3,2,478,0,6,484,0
111,4,227,39,1,2,0,0,1,2,0,10,6,292,0,22,314,0
112,9,409,61,2,1,1,1,1,0,0,5,8,498,0,4,502,0
113,22,425,140,6,4,3,2,3,3,2,6,2,618,0,30,648,0
114,2,296,130,4,1,0,0,1,0,2,6,4,446,0,12,458,0
115,19,376,113,4,0,0,3,0,1,3,12,13,544,0,19,563,0
116,5,345,88,0,0,0,2,1,0,3,8,11,463,0,33,496,0
117,11,317,82,3,1,0,1,0,5,2,6,5,433,0,23,456,0
118,6,380,48,0,1,0,1,1,0,1,5,7,450,0,8,458,0
119,5,318,71,2,2,0,0,0,2,0,1,0,401,0,9,410,0
120,8,512,159,6,2,1,1,5,7,20,15,10,746,0,51,797,0
121,22,393,34,1,0,0,0,1,0,2,14,9,476,0,17,493,0
122,6,418,86,4,0,1,0,1,1,0,1,3,521,0,10,531,0
123,4,317,167,3,0,0,1,2,0,1,6,4,505,0,6,511,0
124,23,319,156,3,3,0,1,3,4,2,3,3,520,0,1,521,0
125,7,243,71,1,1,0,0,0,0,1,2,3,329,0,2,331,0
126,14,294,61,1,0,0,0,4,0,2,3,4,383,0,8,391,0
127,3,341,22,1,0,0,0,0,1,0,2,8,378,0,8,386,0
128,11,194,71,5,2,1,2,1,2,10,6,12,317,0,56,373,0
129,12,578,48,5,0,2,0,2,7,11,15,28,708,0,41,749,0
130,4,378,43,2,1,1,0,1,1,0,1,7,439,0,7,446,0
131,5,654,54,0,1,0,0,0,2,0,3,1,720,0,11,731,0
132,4,623,129,5,1,0,0,1,2,0,3,1,769,0,6,775,0
133,5,603,82,6,1,0,0,1,1,0,3,0,702,0,10,712,0
134,2,474,57,2,1,0,0,1,1,0,0,2,540,0,8,548,0
135,2,452,19,1,1,0,0,0,0,0,1,2,478,0,1,479,0
136,1,634,125,5,0,0,0,2,0,1,1,1,770,0,5,775,0
137,3,294,50,1,0,0,0,0,1,0,0,1,350,0,5,355,0
138,8,336,296,6,0,0,0,0,3,1,1,1,652,0,7,659,0
139,1,36,550,4,2,2,1,0,0,1,6,3,606,0,6,612,0
140,3,24,532,8,1,0,0,0,0,1,1,2,572,0,6,578,0
141,7,311,499,5,0,1,0,1,1,0,5,1,831,0,11,842,0
142,15,292,579,7,4,1,1,1,3,2,5,9,919,0,28,947,0
143,8,40,774,6,2,1,0,4,4,2,5,0,846,0,4,850,0
144,11,460,229,0,1,0,0,1,3,2,2,2,711,0,6,717,0
145,5,266,362,2,3,1,0,3,1,0,4,2,649,0,7,656,0
146,3,88,537,5,1,0,0,0,3,0,2,1,640,0,7,647,0
147,0,632,92,3,1,0,0,1,0,0,2,1,732,0,11,743,0
148,3,611,62,10,1,0,0,1,0,0,3,6,697,0,10,707,0
149,10,422,292,8,0,0,1,1,5,3,7,15,764,0,34,798,0
150,2,670,120,4,0,1,0,1,0,1,0,1,800,0,14,814,0
151,22,520,36,2,0,0,1,8,2,2,6,16,615,0,20,635,0
152,5,216,395,3,4,0,0,1,3,5,7,7,646,0,22,668,0
153,9,221,191,5,4,0,3,2,2,1,7,3,448,0,18,466,0
154,3,487,74,5,1,1,0,3,0,1,4,4,583,0,10,593,0
155,9,267,166,2,2,1,1,2,2,5,6,13,476,0,17,493,0
156,11,432,63,2,4,1,1,2,2,4,1,7,530,0,12,542,0
157,11,318,148,1,1,0,0,0,2,3,8,8,500,0,16,516,0
158,5,279,78,1,0,1,2,0,3,7,11,11,398,0,20,418,0
159,3,553,40,0,0,1,2,0,0,2,0,9,610,0,12,622,0
160,4,292,176,0,0,0,2,0,3,2,1,4,484,0,5,489,0
161,7,263,24,2,3,0,0,1,0,1,4,14,319,0,10,329,0
162,5,240,120,3,0,0,0,1,0,1,6,4,380,0,4,384,0
163,15,449,80,2,1,0,0,3,1,5,14,18,588,0,31,619,0
164,11,423,79,2,1,0,0,2,3,1,5,16,543,0,38,581,0
165,10,346,19,2,3,0,2,1,1,9,18,19,430,0,45,475,0
166,15,293,28,1,2,0,1,2,1,5,3,5,356,0,12,368,0
167,5,197,22,1,1,0,1,2,3,4,5,10,251,0,11,262,0
168,6,448,41,2,0,0,1,0,1,0,8,6,513,0,4,517,0
169,13,319,74,3,1,1,1,0,1,4,7,12,436,0,14,450,0
170,16,290,188,1,1,0,0,1,0,2,10,6,515,0,21,536,0
171,21,324,57,2,3,2,2,3,7,4,29,23,477,0,40,517,0
172,4,172,23,1,2,0,0,2,0,2,12,10,228,0,12,240,0
173,10,490,88,0,0,1,0,1,2,1,6,8,607,0,20,627,0
174,16,430,60,4,2,0,2,2,2,4,8,22,552,0,34,586,0
175,6,387,19,0,0,0,0,0,2,2,3,6,425,0,12,437,0
176,6,270,149,2,1,2,0,0,0,3,7,14,454,0,13,467,0
177,6,403,98,1,0,2,0,0,2,5,0,4,521,0,7,528,0
178,9,341,182,3,2,1,3,0,0,4,5,9,559,0,15,574,0
179,3,411,69,1,0,1,0,0,2,1,8,6,502,0,6,508,0
180,6,358,33,1,0,1,0,3,2,2,5,10,421,0,10,431,0
181,22,195,49,5,2,3,1,0,1,4,7,5,294,0,34,328,0
182,11,415,64,4,0,0,2,1,1,4,13,12,527,0,35,562,0
183,25,357,87,4,5,3,4,9,7,10,15,7,533,0,29,562,0
184,17,162,112,0,0,0,1,1,4,4,5,6,312,0,36,348,0
185,11,182,109,8,1,0,0,2,2,6,4,14,339,0,24,363,0
186,12,197,114,5,0,1,2,3,2,5,8,11,360,0,21,381,0
187,20,275,129,9,1,3,2,2,6,0,6,7,460,0,16,476,0
188,14,353,135,2,5,3,2,2,2,6,21,17,562,0,22,584,0
189,20,397,108,4,2,3,5,5,6,7,8,17,582,0,56,638,0
190,22,316,96,3,5,0,1,5,7,5,13,17,490,0,36,526,0
191,7,254,122,12,3,0,2,2,0,7,5,2,416,0,28,444,0
192,10,157,105,5,2,1,0,4,3,2,4,7,300,0,26,326,0
193,18,259,153,4,1,0,2,1,0,5,7,13,463,0,41,504,0
194,16,151,193,5,2,2,3,1,5,8,13,19,418,0,74,492,0
195,4,175,131,3,0,2,0,1,2,8,7,10,343,0,32,375,0
196,4,119,318,5,1,1,1,2,1,1,7,8,468,0,19,487,0
197,1,218,107,3,1,0,1,1,1,3,12,9,357,0,12,369,0
198,6,164,102,4,1,1,0,4,4,5,9,14,314,0,7,321,0
199,5,133,170,3,0,1,1,2,1,1,1,2,320,0,6,326,0
200,4,129,226,7,0,1,2,1,7,3,7,5,392,0,15,407,0
201,20,217,221,13,3,1,4,4,7,11,23,27,551,0,56,607,0
202,8,303,92,2,2,0,5,7,8,11,15,25,478,0,37,515,0
203,4,208,89,3,1,0,2,1,1,3,5,4,321,0,10,331,0
204,7,242,107,3,0,0,0,4,1,6,13,9,392,0,20,412,0
205,10,369,49,6,1,1,0,4,5,5,7,13,470,0,37,507,0
206,16,163,216,4,1,1,3,3,5,5,14,23,454,0,81,535,0
207,18,393,28,1,0,1,2,1,1,4,6,8,463,0,12,475,0
208,7,364,64,4,1,0,1,2,2,4,9,9,467,0,35,502,0
209,26,484,60,5,1,2,2,6,3,2,21,12,624,0,29,653,0
210,7,170,222,10,6,0,8,6,3,14,12,15,473,0,57,530,0
211,1,117,144,9,1,1,2,3,5,3,11,5,302,0,11,313,0
212,21,323,87,3,0,6,2,3,0,7,11,14,477,0,29,506,0
213,10,303,167,6,1,3,4,5,4,9,12,18,542,0,50,592,0
214,9,264,206,1,1,1,0,0,2,3,1,7,495,0,7,502,0
215,4,186,58,2,1,3,2,2,1,4,3,3,269,0,6,275,0
216,7,328,160,2,0,0,0,1,0,2,4,5,509,0,18,527,0
217,9,206,108,3,1,1,1,1,2,4,9,4,349,0,21,370,0
218,2,92,129,2,0,0,2,2,3,0,3,7,242,0,19,261,0
219,11,247,82,4,3,5,4,4,6,4,11,22,403,0,50,453,0
220,22,312,101,7,2,4,1,4,4,11,15,22,505,0,62,567,0
221,9,263,49,4,0,0,0,0,4,1,8,7,345,0,8,353,0
222,9,107,146,2,3,1,1,1,3,2,11,8,294,0,18,312,0
223,7,236,114,3,3,1,1,6,5,6,10,11,403,0,24,427,0
224,6,288,100,0,3,0,1,2,2,5,6,12,425,0,1,426,0
225,10,243,89,6,2,3,0,1,4,8,8,14,388,0,25,413,0
226,19,344,77,4,1,3,2,6,5,3,12,14,490,0,37,527,0
227,3,297,33,1,2,0,1,3,0,1,7,6,354,0,9,363,0
228,19,352,78,7,7,0,2,3,4,6,14,14,506,0,38,544,0
229,6,251,108,1,1,0,1,2,2,0,11,5,388,0,15,403,0
230,11,430,58,4,0,2,4,3,5,3,7,21,548,0,27,575,0
231,10,399,77,1,3,2,0,3,3,5,10,9,522,0,8,530,0
232,7,261,42,4,1,1,0,0,0,0,8,4,328,0,8,336,0
233,7,168,132,1,1,0,2,2,7,6,10,9,345,0,14,359,0
234,14,411,103,6,2,2,1,2,0,2,14,6,563,0,23,586,0
235,1,86,354,3,1,0,1,1,0,2,2,2,453,0,5,458,0
236,16,264,140,2,2,2,0,3,3,7,8,4,451,0,9,460,0
237,21,270,113,5,0,0,3,2,2,5,13,11,445,0,11,456,0
238,17,375,108,1,1,2,2,7,7,15,22,20,577,0,29,606,0
239,11,408,356,5,0,0,0,1,3,2,6,7,799,0,5,804,0
240,8,411,231,7,0,1,0,2,4,11,13,3,691,0,18,709,0
241,7,162,64,2,0,0,1,1,2,3,8,10,260,0,8,268,0
242,8,396,82,0,0,0,0,1,2,0,6,6,501,0,9,510,0
243,3,236,73,3,1,0,0,0,0,1,2,4,323,0,3,326,0
244,11,233,75,3,2,2,0,1,2,1,13,9,352,0,23,375,0
245,28,464,108,2,5,1,1,8,3,12,22,10,664,0,36,700,0
246,29,338,51,4,1,2,3,6,1,5,10,7,457,0,15,472,0
247,20,214,123,8,2,1,3,0,4,4,8,5,392,0,33,425,0
248,12,242,5,1,0,0,0,0,0,2,1,11,274,0,7,281,0
249,26,374,90,1,4,1,4,9,9,13,29,17,577,0,31,608,0
250,21,398,110,5,4,3,1,2,3,11,19,24,601,0,89,690,0
251,30,313,58,8,0,2,2,4,1,6,2,8,434,0,13,447,0
252,18,478,104,2,4,1,5,5,5,13,23,38,696,0,92,788,0
253,29,231,118,11,2,4,5,4,7,6,8,13,438,0,34,472,0
254,15,216,49,6,2,0,1,0,0,4,7,10,310,0,25,335,0
255,22,337,70,6,1,1,2,2,3,5,14,12,475,0,71,546,0
256,10,263,99,1,1,3,0,1,4,5,8,4,399,0,16,415,0
257,11,169,372,21,4,5,6,4,5,9,8,7,621,0,23,644,0
258,17,373,135,3,2,3,4,2,3,9,19,18,588,0,64,652,0
259,11,281,35,2,1,2,2,0,3,4,8,8,357,0,7,364,0
260,34,380,69,6,4,5,2,9,5,6,16,13,549,0,17,566,0
261,34,361,59,5,4,1,1,5,1,5,30,14,520,0,30,550,0
262,20,361,29,3,4,0,1,3,6,9,13,18,467,0,39,506,0
263,39,347,39,4,3,0,2,5,8,3,28,25,503,0,56,559,0
264,17,196,26,5,1,2,4,4,3,4,6,4,272,0,19,291,0
265,18,164,156,5,2,0,1,5,4,8,8,9,380,0,28,408,0
266,26,292,142,6,3,5,3,6,6,3,6,12,510,0,34,544,0
267,63,281,71,6,0,2,5,1,3,11,5,13,461,0,78,539,0
268,28,265,101,11,10,3,3,4,1,6,13,16,461,0,24,485,0
269,11,274,91,11,2,3,2,1,2,4,7,11,419,0,18,437,0
270,19,316,72,8,3,1,2,5,3,6,16,23,474,0,45,519,0
271,39,306,89,8,3,3,5,2,2,8,7,6,478,0,14,492,0
272,36,465,52,7,3,1,1,7,13,7,25,50,667,0,72,739,0
273,19,216,43,4,1,0,1,3,2,5,6,8,308,0,16,324,0
274,6,95,65,1,2,0,4,2,1,3,9,12,200,0,20,220,0
275,9,90,130,3,5,2,5,6,0,5,10,10,275,0,28,303,0
