polling station,,,,,,,,,,,,,
,Chudasama Rajeshbhai Naranbhai (Bharatiya Janata Party),PUNJABHAI BHIMABHAI VANSH,Atul Govindbhai Shekhada(A am Aadmi Party),Kadri Ibrahim Saiyed Husen(Samaj wadi Party),Solanki Haribhai Boghabhai( Bahujan Mukti Party),Gadhiya Soyeb Hushenbhai (Independen t),Saiyed Altaf Husain Abdullah Miyan(Indepe ndent),Harilal Ranchhodbhai Chauhan(Inde pendent),valid,rejected,nota,total,tendered
185,335,44,9,1,1,0,0,0,390,0,10,400,0
186,338,39,10,1,0,0,0,0,388,0,8,396,0
187,223,269,6,0,1,0,0,5,504,0,12,516,0
188,56,544,13,2,1,0,0,6,622,0,6,628,0
189,521,69,12,0,0,0,1,0,603,0,16,619,0
190,494,79,12,0,1,0,1,1,588,0,20,608,0
191,600,74,20,2,0,0,1,0,697,0,13,710,0
192,607,93,16,0,0,0,0,0,716,0,15,731,0
193,158,107,11,1,0,1,0,1,279,0,10,289,0
194,506,176,32,1,1,1,1,0,718,0,31,749,0
195,626,99,29,0,1,1,0,0,756,0,18,774,0
196,675,95,28,0,0,0,1,0,799,0,18,817,0
197,570,108,29,2,2,0,0,0,711,0,12,723,0
198,612,67,20,1,1,0,0,0,701,0,12,713,0
199,330,46,17,0,0,0,0,0,393,0,9,402,0
200,169,607,15,1,1,2,5,3,803,0,12,815,0
201,682,62,21,0,0,0,1,0,766,0,14,780,0
202,362,136,18,0,1,0,2,1,520,0,11,531,0
203,24,647,6,0,0,0,0,5,682,0,11,693,0
204,374,213,15,0,0,0,0,3,605,0,12,617,0
205,371,70,34,1,0,0,2,0,478,0,9,487,0
206,533,60,78,2,0,1,0,2,676,0,11,687,0
207,304,49,34,0,1,0,0,0,388,0,8,396,0
208,639,111,30,1,0,0,0,0,781,0,15,796,0
209,627,51,9,1,0,0,1,0,689,0,10,699,0
210,352,76,13,0,0,0,0,0,441,0,10,451,0
211,443,20,6,0,0,0,1,0,470,0,12,482,0
212,528,56,20,1,0,0,0,1,606,0,8,614,0
213,668,37,12,0,1,1,0,0,719,0,6,725,0
214,338,11,7,0,0,0,0,0,356,0,13,369,0
215,610,28,15,0,0,0,0,0,653,0,9,662,0
216,127,99,20,1,0,0,1,1,249,0,4,253,0
217,453,131,20,0,1,1,0,1,607,0,17,624,0
218,509,183,15,0,0,1,0,0,708,0,16,724,0
219,495,92,30,0,1,0,0,0,618,0,15,633,0
220,485,63,22,0,1,0,0,0,571,0,23,594,0
221,460,119,27,0,1,0,1,0,608,0,21,629,0
222,311,113,14,3,2,1,3,3,450,0,15,465,0
223,573,128,15,1,0,2,0,2,721,0,12,733,0
224,407,92,11,1,1,0,0,0,512,0,8,520,0
225,415,148,18,3,0,1,3,2,590,0,16,606,0
226,280,185,16,0,2,0,2,1,486,0,14,500,0
227,141,68,1,0,1,3,1,3,218,0,6,224,0
228,309,31,14,0,0,0,0,1,355,0,5,360,0
229,119,302,19,3,2,2,1,1,449,0,7,456,0
230,436,98,8,1,2,2,0,1,548,0,12,560,0
231,263,84,10,1,1,0,1,2,362,0,12,374,0
232,422,66,20,0,1,0,0,0,509,0,15,524,0
233,345,184,14,1,1,1,4,6,556,0,15,571,0
234,251,195,10,1,3,1,2,5,468,0,11,479,0
235,226,121,2,0,1,2,2,2,356,0,14,370,0
236,305,148,20,1,1,0,1,0,476,0,19,495,0
237,441,85,9,2,1,0,5,3,546,0,13,559,0
238,318,84,9,1,0,2,0,3,417,0,11,428,0
239,160,292,23,3,0,2,3,3,486,0,7,493,0
240,289,106,10,2,0,0,3,3,413,0,17,430,0
241,63,605,18,2,0,1,3,13,705,0,8,713,0
242,158,576,17,3,1,1,3,3,762,0,11,773,0
243,519,100,10,4,3,1,1,4,642,0,10,652,0
244,36,253,16,0,1,1,0,5,312,0,6,318,0
245,173,82,11,0,0,0,0,0,266,0,5,271,0
246,61,80,15,0,0,0,0,0,156,0,5,161,0
247,109,630,23,3,2,1,3,5,776,0,14,790,0
248,96,486,5,2,4,1,0,1,595,0,5,600,0
249,25,213,1,0,0,0,1,1,241,0,2,243,0
250,66,423,13,1,8,0,2,3,516,0,6,522,0
251,53,205,4,0,1,0,1,2,266,0,3,269,0
252,185,272,10,2,4,3,1,6,483,0,7,490,0
253,645,68,11,1,0,4,2,6,737,0,13,750,0
254,281,301,8,3,2,1,3,11,610,0,19,629,0
255,233,55,92,2,1,4,3,4,394,0,2,396,0
256,150,80,78,1,4,1,3,4,321,0,13,334,0
257,133,269,13,1,2,1,3,1,423,0,5,428,0
258,57,70,8,1,1,1,1,0,139,0,4,143,0
259,292,189,21,3,1,2,0,3,511,0,15,526,0
260,241,151,32,1,0,1,3,2,431,0,7,438,0
