polling station,,,,,,,,,,,,,,,,,valid,rejected,nota,Total,tendered
23,14,241,435,15,5,2,17,6,1,1,4,6,6,8,6,11,778,0,12,790,0
24,7,201,507,16,0,0,9,2,0,3,2,8,6,7,8,12,788,0,9,797,0
25,8,271,183,12,2,0,0,0,1,2,0,1,3,1,3,14,501,0,12,513,0
26,10,289,199,6,2,1,0,1,0,2,2,2,3,7,14,11,549,0,31,580,0
27,11,301,352,14,2,1,1,2,3,1,3,3,2,14,6,9,725,0,9,734,0
28,11,380,279,19,2,1,2,1,0,1,5,3,4,4,2,11,725,0,9,734,0
29,10,337,217,6,2,1,3,2,2,1,0,2,1,5,5,8,602,0,5,607,0
30,11,187,423,7,1,0,1,1,0,1,1,0,2,8,3,14,660,0,6,666,0
31,3,108,131,6,1,1,1,0,2,0,0,1,2,4,5,5,270,0,4,274,0
32,19,246,357,12,1,2,3,0,1,2,3,6,3,3,1,15,674,0,9,683,0
33,6,219,217,4,1,0,0,1,2,3,2,1,2,1,3,6,468,0,4,472,0
34,3,86,166,5,0,1,0,3,0,0,0,1,2,6,5,3,281,0,2,283,0
35,13,398,253,10,1,3,1,2,0,4,3,3,4,6,11,9,721,0,7,728,0
36,18,314,254,14,5,6,2,5,2,0,3,2,0,5,5,6,641,0,21,662,0
37,12,283,362,8,1,0,1,2,0,0,1,4,3,6,3,6,692,0,9,701,0
38,16,234,418,12,5,2,1,2,2,1,3,3,3,9,9,4,724,0,5,729,0
39,4,364,243,21,0,1,0,1,0,1,2,1,0,0,5,8,651,0,4,655,0
40,6,290,107,14,1,0,0,0,0,0,1,0,0,3,2,4,428,0,5,433,0
41,3,290,375,28,4,1,1,2,0,2,1,5,4,5,0,7,728,0,6,734,0
42,9,343,226,7,1,0,1,2,0,0,1,1,0,7,2,3,603,0,1,604,0
43,2,248,201,15,0,2,0,0,0,0,2,0,1,3,3,8,485,0,1,486,0
44,3,156,473,17,5,3,0,0,0,0,2,1,2,5,2,6,675,0,8,683,0
45,4,72,463,20,3,0,1,3,0,2,2,1,0,5,1,10,587,0,4,591,0
46,10,205,360,13,3,1,4,2,0,2,2,0,3,2,1,6,614,0,0,614,0
47,8,223,374,17,2,1,1,0,1,0,0,1,1,3,4,4,640,0,8,648,0
48,13,154,378,11,1,1,0,1,2,0,1,0,2,2,2,4,572,0,2,574,0
49,2,240,283,5,1,0,1,0,0,1,1,2,0,5,0,3,544,0,0,544,0
50,1,440,23,6,2,0,0,1,0,0,0,3,0,2,2,1,481,0,2,483,0
51,7,401,163,8,2,1,0,3,1,1,1,0,2,6,4,6,606,0,3,609,0
52,8,377,192,18,1,1,0,0,0,0,2,0,1,1,2,7,610,0,2,612,0
53,8,253,257,12,1,2,2,1,1,2,1,1,4,5,4,8,562,0,7,569,0
54,4,396,194,17,2,0,0,1,0,0,4,5,1,5,1,4,634,0,10,644,0
55,18,435,295,21,0,2,1,2,0,0,2,1,1,3,4,7,792,0,7,799,0
56,10,380,329,27,2,1,4,2,0,0,1,0,3,6,2,9,776,0,1,777,0
57,20,456,306,20,3,2,2,2,1,1,4,2,7,9,7,11,853,0,10,863,0
58,0,208,184,19,1,0,0,0,1,2,1,1,2,1,2,3,425,0,3,428,0
59,1,304,294,21,1,0,0,1,0,2,2,0,3,5,1,7,642,0,3,645,0
60,9,350,248,6,3,1,2,3,4,3,0,2,3,6,6,5,651,0,11,662,0
61,3,209,233,11,0,1,1,1,2,0,0,1,0,5,1,4,472,0,9,481,0
62,9,395,186,19,6,3,1,3,2,2,1,1,2,7,1,7,645,0,8,653,0
63,3,210,98,8,2,1,0,1,0,0,1,0,0,2,3,2,331,0,7,338,0
64,1,100,66,1,0,1,0,2,0,0,0,0,1,0,8,5,185,0,5,190,0
65,6,265,64,3,2,0,0,2,0,0,1,0,0,0,1,0,344,0,3,347,0
66,2,239,203,8,1,1,0,0,0,1,0,0,0,2,2,5,464,0,2,466,0
67,7,369,83,7,0,1,3,2,2,4,1,0,1,5,5,1,491,0,1,492,0
68,2,147,80,3,1,0,0,0,0,0,2,1,1,2,1,7,247,0,0,247,0
69,4,282,48,2,0,0,1,3,0,2,1,1,0,0,1,2,347,0,0,347,0
70,4,275,105,11,0,0,0,0,0,3,1,3,0,6,6,6,420,0,0,420,0
71,12,226,474,8,1,1,2,2,2,1,0,1,1,5,6,10,752,0,8,760,0
72,12,240,435,7,3,0,1,0,1,1,1,0,2,5,4,8,720,0,18,738,0
73,13,220,337,8,1,2,1,2,2,0,0,4,4,13,11,7,625,0,11,636,0
74,13,383,398,10,2,0,0,2,1,1,2,0,1,4,3,10,830,0,10,840,0
75,9,228,421,8,1,1,1,1,1,1,1,0,2,3,5,3,686,0,11,697,0
76,6,284,246,15,0,0,0,0,2,1,1,2,5,6,7,5,580,0,7,587,0
77,6,282,308,19,2,0,2,3,1,2,0,2,2,2,2,6,639,0,2,641,0
78,5,407,231,25,0,2,0,0,1,2,0,1,3,3,1,4,685,0,7,692,0
79,11,196,327,47,2,0,2,1,1,0,0,1,4,4,4,14,614,0,5,619,0
80,0,205,49,20,0,0,0,0,0,0,1,2,0,2,0,3,282,0,2,284,0
81,6,243,152,17,0,0,1,1,0,4,1,2,3,2,5,5,442,0,4,446,0
82,4,138,118,26,3,0,1,1,1,0,1,1,1,0,2,0,297,0,1,298,0
83,5,211,232,17,1,0,0,0,0,0,0,0,1,3,1,4,475,0,5,480,0
84,5,379,199,37,1,0,0,0,1,0,4,1,2,2,3,6,640,0,7,647,0
85,9,431,235,48,1,1,1,0,0,1,2,2,1,4,1,9,746,0,11,757,0
86,5,614,101,18,2,0,0,0,1,0,0,1,0,2,3,6,753,0,8,761,0
87,6,734,87,31,1,0,2,4,0,0,0,1,1,1,2,1,871,0,7,878,0
88,5,506,66,20,1,0,1,0,0,0,0,1,1,1,1,0,603,0,8,611,0
89,0,711,68,27,0,0,0,0,1,2,3,2,1,2,1,3,821,0,14,835,0
90,4,366,193,10,1,1,3,1,1,1,0,0,5,5,4,5,600,0,2,602,0
91,0,36,53,0,0,0,0,0,1,0,0,0,0,1,0,0,91,0,0,91,0
92,4,652,112,16,0,0,1,2,1,1,1,0,0,2,0,2,794,0,15,809,0
93,3,269,68,11,1,2,0,0,0,2,0,2,2,4,3,5,372,0,3,375,0
94,4,194,234,9,2,1,0,1,0,1,1,0,2,6,1,3,459,0,1,460,0
95,8,497,113,11,0,0,0,2,0,0,2,5,6,2,6,2,654,0,1,655,0
96,3,218,94,14,0,0,1,1,0,2,2,1,2,3,2,2,345,0,4,349,0
97,3,242,149,19,0,0,2,1,1,1,1,1,4,4,4,3,435,0,3,438,0
98,8,311,209,26,3,0,0,4,1,2,2,3,8,9,6,12,604,0,6,610,0
99,3,346,109,29,0,1,2,1,1,3,1,1,1,4,3,4,509,0,4,513,0
100,15,261,175,26,0,1,1,0,0,0,2,4,3,1,2,8,499,0,3,502,0
101,5,378,106,30,1,2,0,0,3,0,0,2,1,3,3,2,536,0,3,539,0
102,8,228,141,5,1,0,3,2,0,1,0,1,1,2,7,10,410,0,1,411,0
103,7,246,134,17,1,0,0,0,0,0,2,4,2,2,3,3,421,0,7,428,0
104,4,193,204,13,1,0,1,1,1,1,1,1,0,2,6,4,433,0,13,446,0
105,6,309,84,8,0,1,0,0,0,2,0,1,1,5,3,1,421,0,1,422,0
106,5,249,145,7,0,0,0,3,1,1,2,1,1,0,2,4,421,0,2,423,0
107,10,281,158,34,0,0,1,1,2,0,2,2,2,4,12,5,514,0,1,515,0
108,0,167,74,17,2,0,0,1,2,0,1,0,1,3,14,2,284,0,1,285,0
109,11,259,168,24,2,2,2,0,0,0,3,2,1,7,9,3,493,0,4,497,0
110,9,223,213,20,1,3,0,1,0,1,0,3,4,8,5,4,495,0,2,497,0
111,7,369,125,24,1,1,1,1,0,1,2,2,5,4,3,5,551,0,3,554,0
112,2,337,120,9,0,1,0,0,0,4,0,0,0,0,1,0,474,0,2,476,0
113,2,577,77,7,2,1,1,2,0,0,1,0,1,4,9,6,690,0,5,695,0
114,7,227,154,13,2,1,1,1,0,0,0,1,4,3,5,2,421,0,3,424,0
115,4,204,335,19,2,2,1,2,1,1,4,0,1,11,5,9,601,0,8,609,0
116,3,290,119,21,0,0,0,3,0,3,0,2,2,8,4,1,456,0,3,459,0
117,6,234,218,14,2,0,0,1,1,1,2,3,4,7,4,11,508,0,7,515,0
118,1,620,51,22,1,0,0,0,0,1,0,2,1,0,0,2,701,0,6,707,0
119,0,414,38,9,0,1,0,0,0,0,0,0,0,1,0,0,463,0,4,467,0
120,1,583,82,23,0,0,0,3,0,4,1,1,1,0,0,0,699,0,1,700,0
121,6,536,110,26,0,0,1,0,0,6,2,4,2,3,7,7,710,0,10,720,0
122,4,476,65,9,0,0,0,3,1,0,0,0,2,5,5,0,570,0,4,574,0
123,0,435,23,2,2,0,0,1,1,0,1,3,2,7,5,5,487,0,3,490,0
124,7,738,46,26,1,0,0,1,0,2,1,2,1,2,0,1,828,0,2,830,0
125,4,514,42,2,1,0,2,3,0,0,1,2,5,0,3,6,585,0,9,594,0
126,3,648,68,13,0,0,1,2,1,4,2,1,0,1,5,5,754,0,9,763,0
127,4,681,47,9,2,0,0,0,1,1,0,2,4,1,2,3,757,0,3,760,0
128,3,484,248,17,2,0,1,2,0,0,0,1,1,2,5,3,769,0,11,780,0
129,2,413,249,17,2,0,2,0,0,2,2,1,0,3,1,7,701,0,10,711,0
130,9,456,180,16,1,0,3,1,0,0,0,0,0,3,4,5,678,0,9,687,0
131,1,220,278,23,1,0,0,1,0,0,1,0,0,2,1,3,531,0,9,540,0
132,2,149,497,9,1,0,0,0,0,0,0,0,2,3,0,8,671,0,12,683,0
133,1,535,111,23,0,0,0,0,0,0,0,0,1,0,0,1,672,0,3,675,0
134,2,289,334,15,1,0,1,1,0,1,1,0,1,3,2,2,653,0,12,665,0
135,1,177,317,17,0,0,1,0,3,0,0,1,2,2,3,6,530,0,5,535,0
136,1,213,325,6,0,0,0,0,2,2,2,0,1,2,2,4,560,0,3,563,0
137,4,129,577,19,1,1,0,0,1,0,3,0,1,5,6,5,752,0,2,754,0
138,6,274,223,8,1,1,1,0,0,1,0,2,2,6,1,9,535,0,8,543,0
139,5,443,213,20,1,0,0,2,0,2,1,1,2,4,2,1,697,0,4,701,0
140,4,621,220,26,0,2,1,0,1,0,1,1,1,3,1,1,883,0,8,891,0
141,3,144,396,28,0,0,0,0,0,1,0,0,0,2,0,5,579,0,5,584,0
142,4,430,96,10,0,0,0,0,0,2,2,0,1,4,6,1,556,0,7,563,0
143,0,546,53,22,1,1,0,0,0,1,1,1,0,4,3,0,633,0,7,640,0
144,1,615,85,46,1,0,2,0,0,5,0,1,1,2,1,1,761,0,1,762,0
145,6,437,312,15,1,1,0,0,0,2,2,1,3,6,1,5,792,0,9,801,0
146,1,583,85,14,1,2,0,0,0,0,0,2,1,0,3,2,694,0,3,697,0
147,5,450,61,24,0,0,0,1,0,0,0,0,0,0,0,2,543,0,3,546,0
148,6,569,209,38,1,1,0,0,0,3,1,0,2,3,1,5,839,0,10,849,0
149,1,666,77,39,2,0,0,0,1,2,0,2,0,2,0,1,793,0,7,800,0
150,1,511,118,21,2,0,0,2,0,3,1,1,2,2,2,1,667,0,8,675,0
151,3,636,93,17,1,0,1,0,0,15,1,0,0,3,1,4,775,0,5,780,0
152,3,763,78,27,2,0,0,0,0,2,0,1,1,2,2,3,884,0,15,899,0
153,1,290,171,32,0,0,0,1,0,2,0,0,1,0,0,1,499,0,5,504,0
154,3,504,138,22,1,1,0,0,0,1,0,0,0,3,1,2,676,0,1,677,0
155,3,740,106,25,0,1,2,2,1,2,0,0,2,1,3,4,892,0,8,900,0
156,4,580,177,36,2,0,1,0,1,8,0,0,0,1,2,3,815,0,3,818,0
157,5,350,213,25,3,0,0,1,0,1,0,1,2,2,2,2,607,0,2,609,0
158,0,227,42,18,0,0,0,0,0,1,1,0,0,0,1,1,291,0,0,291,0
159,3,287,303,15,1,1,0,1,0,1,0,1,0,0,0,2,615,0,4,619,0
160,1,245,164,11,0,1,1,0,0,4,1,0,1,0,1,1,431,0,1,432,0
161,4,175,179,4,1,0,0,0,1,5,0,1,1,2,1,4,378,0,3,381,0
162,7,306,481,19,2,2,0,2,0,2,2,6,3,7,7,11,857,0,4,861,0
163,1,149,84,2,0,0,0,0,0,0,0,0,0,0,1,3,240,0,3,243,0
164,8,406,319,11,1,2,2,1,0,1,1,2,4,6,2,6,772,0,8,780,1
165,12,353,188,12,2,2,1,0,0,1,0,2,1,3,1,11,589,0,10,599,0
166,2,442,95,3,0,0,0,1,0,3,1,1,0,4,5,3,560,0,5,565,0
167,2,140,151,16,0,0,0,0,0,1,0,2,2,3,5,3,325,0,1,326,0
168,4,467,199,10,0,1,1,1,1,0,0,1,1,7,4,4,701,0,12,713,0
169,22,686,63,8,0,0,2,1,0,3,2,3,3,1,6,11,811,0,13,824,0
170,28,104,449,23,0,1,1,0,0,1,2,0,0,4,1,9,623,0,6,629,0
171,6,65,309,7,0,0,0,0,0,0,0,0,1,5,1,6,400,0,1,401,0
172,20,170,599,21,0,0,1,2,0,0,0,3,1,1,4,10,832,0,5,837,0
173,14,53,403,8,1,0,0,0,0,1,1,0,1,0,1,1,484,0,5,489,0
174,5,4,408,12,0,0,0,1,0,0,0,0,1,0,0,2,433,0,7,440,0
175,1,14,424,7,1,0,0,0,0,1,0,0,0,2,0,1,451,0,3,454,0
176,8,670,164,16,0,0,2,2,0,1,1,0,0,0,5,7,876,0,8,884,0
177,3,345,127,9,2,0,0,2,0,0,0,0,0,3,0,2,493,0,2,495,0
178,1,561,142,5,3,1,1,0,0,0,0,1,2,2,2,2,723,0,1,724,0
179,2,308,246,9,0,0,0,0,2,5,0,1,1,3,1,6,584,0,1,585,0
180,6,27,563,13,1,0,1,0,1,0,0,1,0,6,1,4,624,0,9,633,0
181,3,451,154,16,0,0,2,0,0,6,0,2,0,3,4,9,650,0,4,654,0
182,3,291,128,11,2,2,2,0,1,0,1,0,1,3,1,3,449,0,0,449,0
183,1,483,124,28,2,1,0,1,1,6,1,2,1,3,5,5,664,0,4,668,0
184,0,284,16,10,0,1,0,0,1,0,0,0,1,0,0,1,314,0,0,314,0
185,3,704,67,17,0,0,1,2,2,0,2,1,0,1,3,2,805,0,6,811,0
186,3,742,51,7,0,0,2,0,1,0,1,0,0,1,1,4,813,0,4,817,0
187,0,215,155,7,1,0,0,0,0,0,0,0,1,1,3,2,385,0,1,386,0
188,4,317,198,7,0,1,1,1,0,1,0,2,2,2,3,3,542,0,1,543,0
189,3,707,137,11,1,0,1,3,2,3,1,2,3,2,0,2,878,0,4,882,0
190,9,505,257,22,2,0,1,1,1,1,1,3,1,6,3,7,820,0,10,830,0
191,8,162,229,17,0,1,1,1,1,2,1,1,3,4,3,14,448,0,3,451,0
192,9,403,380,27,0,0,1,0,0,1,3,6,6,6,9,7,858,0,4,862,0
193,1,424,196,14,1,1,1,1,1,0,2,7,2,4,3,6,664,0,2,666,0
194,6,237,65,5,0,0,1,2,1,0,0,2,0,2,0,2,323,0,2,325,0
195,2,432,308,7,0,0,1,2,0,0,2,2,1,4,7,6,774,0,11,785,0
196,5,277,203,12,0,0,0,2,0,2,1,0,1,5,3,3,514,0,4,518,0
197,3,598,144,33,3,0,0,1,0,0,1,2,0,1,1,1,788,0,5,793,0
198,5,145,150,16,1,2,1,2,2,0,0,2,1,2,6,10,345,0,2,347,0
199,7,165,223,13,1,1,0,1,1,0,3,2,1,4,4,7,433,0,2,435,0
200,3,100,383,11,1,0,0,0,0,0,0,0,0,0,2,1,501,0,1,502,0
201,7,113,382,8,3,1,0,1,0,1,1,0,0,4,2,4,527,0,2,529,0
202,3,184,291,7,1,1,2,0,0,1,1,4,0,7,2,2,506,0,2,508,0
203,7,159,344,27,2,2,1,2,0,1,0,3,0,7,3,2,560,0,8,568,0
204,3,138,393,8,0,1,0,0,0,0,1,1,1,1,1,1,549,0,4,553,0
205,10,239,319,8,3,2,1,1,1,1,1,3,1,5,5,7,607,0,3,610,0
206,7,151,180,4,1,0,1,1,2,0,1,1,2,3,1,9,364,0,10,374,0
207,5,264,176,14,1,0,1,0,1,2,0,0,3,0,0,1,468,0,7,475,0
208,5,299,231,21,2,1,0,2,0,0,0,0,3,6,3,5,578,0,6,584,0
209,10,354,337,33,1,1,0,0,0,1,2,3,2,3,1,5,753,0,10,763,0
210,3,271,298,16,0,0,0,0,0,1,2,1,1,4,2,3,602,0,5,607,0
211,5,396,206,19,1,0,0,0,0,0,0,0,2,7,1,2,639,0,0,639,0
212,5,289,318,13,2,2,3,0,1,1,4,2,0,2,7,3,652,0,3,655,0
213,10,392,271,13,1,0,0,3,1,1,0,1,2,6,3,2,706,0,4,710,0
214,8,450,257,11,3,1,0,0,1,1,2,2,2,3,9,4,754,0,4,758,0
215,5,136,306,17,0,2,1,2,1,0,2,2,0,12,9,12,507,0,5,512,0
216,11,123,247,25,0,0,0,1,1,1,1,2,1,2,1,4,420,0,5,425,0
217,8,159,148,8,2,1,3,2,1,2,0,1,0,3,2,8,348,0,4,352,0
218,5,127,231,13,1,1,0,0,0,1,1,3,0,9,2,2,396,0,4,400,0
219,9,161,337,50,3,1,1,2,1,0,1,0,1,1,2,3,573,0,4,577,0
220,10,219,293,8,3,1,0,2,1,0,0,2,0,4,2,7,552,0,3,555,0
221,18,133,247,4,1,0,0,2,0,0,0,0,1,3,2,1,412,0,2,414,0
222,8,217,235,12,4,0,1,1,1,1,2,3,1,2,5,6,499,0,8,507,0
223,5,162,177,10,0,1,0,0,0,1,0,0,0,2,1,1,360,0,0,360,0
224,2,140,207,14,1,0,0,1,0,1,0,0,0,3,1,4,374,0,0,374,0
225,6,223,149,18,0,0,1,0,0,1,0,0,0,0,0,1,399,0,3,402,0
226,3,243,114,11,0,1,0,0,0,2,1,0,0,1,1,2,379,0,1,380,0
227,2,175,176,24,1,1,0,1,1,2,3,2,0,1,0,1,390,0,5,395,0
228,2,189,69,10,1,2,1,0,1,3,1,1,0,1,2,1,284,0,2,286,0
229,3,229,98,18,1,3,2,2,0,3,0,0,2,5,0,3,369,0,5,374,0
230,3,121,135,10,1,0,0,1,0,0,1,0,1,0,4,2,279,0,4,283,0
231,11,258,73,7,2,1,0,1,0,2,1,2,0,2,1,2,363,0,1,364,0
232,10,214,216,8,0,0,1,0,0,0,2,1,1,0,1,3,457,0,3,460,0
233,1,168,109,16,2,2,0,1,2,0,0,0,0,1,2,4,308,0,2,310,0
234,2,285,113,23,0,1,1,0,0,1,0,1,2,1,1,2,433,0,1,434,0
235,4,375,103,41,0,1,0,0,1,1,0,4,1,1,2,4,538,0,6,544,0
236,13,175,510,28,2,0,0,1,2,0,1,1,2,10,4,8,757,0,9,766,0
237,4,381,124,20,0,0,0,1,1,0,1,1,1,3,5,3,545,0,3,548,0
238,7,323,352,15,3,1,0,2,1,3,1,2,1,5,6,4,726,0,4,730,0
239,3,318,372,9,0,3,0,0,0,3,2,1,6,4,4,3,728,0,6,734,0
240,2,237,370,11,1,1,1,2,0,0,3,5,4,7,6,8,658,0,11,669,0
241,7,77,158,11,2,0,0,0,1,1,3,3,0,6,5,6,280,0,4,284,0
242,3,141,53,5,0,0,0,2,0,1,0,0,1,2,2,3,213,0,1,214,0
243,2,361,87,16,0,1,1,2,1,3,2,4,3,2,5,4,494,0,4,498,0
244,19,528,77,11,3,0,0,0,1,1,3,2,2,1,6,3,657,0,2,659,0
245,3,178,158,34,1,0,0,0,0,1,0,0,3,2,0,1,381,0,1,382,0
246,8,140,93,14,1,1,50,2,1,1,2,2,4,2,0,5,326,0,11,337,0
247,10,285,111,22,5,0,2,4,1,0,1,2,1,2,4,3,453,0,1,454,0
248,11,287,153,23,4,0,0,1,0,0,2,1,1,2,0,0,485,0,0,485,0
249,7,310,162,18,4,1,1,1,0,1,2,0,3,2,3,4,519,0,5,524,0
