polling station,,,,,,,,,,,,,,,,,valid,NOTA,rejected,total,tendered
24,5,340,230,24,1,1,3,3,2,5,0,2,0,3,8,4,631,10,0,641,0
25,2,212,196,27,0,0,1,1,0,4,1,2,2,1,5,5,459,2,0,461,0
26,2,281,174,20,1,0,2,0,1,2,1,0,2,1,2,4,493,6,0,499,0
27,6,211,273,19,3,1,1,0,3,1,1,3,1,7,1,5,536,9,0,545,0
28,6,369,194,25,2,1,3,2,0,1,2,1,1,2,7,5,621,2,0,623,0
29,8,312,205,9,3,0,0,2,2,2,0,3,0,6,18,8,578,6,0,584,0
30,3,136,155,16,0,0,0,0,0,7,0,3,0,0,2,0,322,4,0,326,0
31,5,265,100,19,0,0,0,2,0,2,4,2,2,3,2,8,414,4,0,418,0
32,0,225,42,0,1,0,1,0,1,3,1,0,0,0,3,0,277,8,0,285,0
33,10,245,221,24,3,0,1,2,0,1,1,1,1,6,7,7,530,6,0,536,0
34,2,231,121,25,0,0,1,3,1,1,2,3,0,1,3,5,399,3,0,402,0
35,3,331,86,19,2,2,2,0,0,7,4,2,2,4,5,3,472,9,0,481,0
36,6,353,99,24,4,2,2,1,1,13,1,1,3,4,3,10,527,4,0,531,0
37,7,251,160,7,3,2,1,1,0,1,1,1,1,3,52,6,497,4,0,501,0
38,11,677,119,11,4,2,3,1,3,2,3,3,3,7,9,5,863,14,0,877,0
39,5,122,71,7,1,0,7,0,0,0,0,0,1,0,0,0,214,2,0,216,0
40,4,167,22,5,0,0,1,1,0,0,0,0,0,0,1,0,201,0,0,201,0
41,5,101,102,60,4,2,19,1,1,2,2,3,0,2,3,1,308,4,0,312,0
42,7,155,71,14,0,0,0,0,0,2,0,0,1,0,1,2,253,3,0,256,0
43,2,48,39,35,2,0,0,0,0,3,1,0,1,0,0,0,131,2,0,133,0
44,0,95,72,2,0,0,3,0,0,0,0,0,0,2,0,0,174,0,0,174,0
45,3,130,143,14,1,0,1,1,0,1,0,0,0,1,3,3,301,4,0,305,0
46,11,267,155,43,2,1,0,3,2,0,0,2,1,1,3,1,492,1,0,493,0
47,8,195,70,20,2,4,1,1,0,2,0,2,3,0,2,4,314,6,0,320,0
48,6,217,97,23,1,0,1,0,2,0,0,1,0,4,1,6,359,3,0,362,0
49,8,375,274,6,1,2,2,0,0,0,0,2,2,4,3,5,684,6,0,690,0
50,3,237,157,11,2,0,1,1,2,8,0,4,0,5,1,3,435,6,0,441,0
51,7,172,141,12,3,0,2,0,2,4,1,0,0,4,0,4,352,3,0,355,0
52,4,331,147,4,1,0,2,2,1,33,0,0,0,1,0,6,532,1,0,533,0
53,9,313,221,8,4,3,1,2,6,52,4,1,0,5,4,11,644,3,0,647,0
54,3,233,121,7,0,0,0,0,1,50,1,2,0,0,1,2,421,0,0,421,0
55,1,154,86,2,1,0,1,0,1,43,0,0,1,2,3,0,295,1,0,296,0
56,4,257,448,13,8,0,1,0,1,0,1,0,2,10,1,4,750,0,0,750,0
57,1,210,23,17,0,1,1,0,0,1,0,0,0,4,3,3,264,2,0,266,0
58,1,322,69,12,0,3,0,0,1,9,0,4,2,4,1,3,431,2,0,433,0
59,6,189,148,11,1,0,0,0,0,9,0,0,0,1,1,6,372,2,0,374,0
60,11,368,207,16,1,0,0,1,2,1,0,1,2,4,1,6,621,9,0,630,0
61,1,294,134,6,1,1,0,0,0,1,0,1,0,5,2,3,449,2,0,451,0
62,10,235,89,2,0,0,1,0,0,0,0,0,0,3,2,1,343,1,0,344,0
63,7,195,330,18,2,1,0,0,0,1,2,3,4,4,2,5,574,10,0,584,0
64,1,315,74,11,0,2,0,1,1,5,0,0,0,2,2,0,414,2,0,416,0
65,5,140,69,18,2,0,1,1,1,0,0,2,0,2,2,3,246,1,0,247,0
66,4,250,133,35,2,0,0,1,2,2,1,2,2,2,6,3,445,1,0,446,0
67,1,136,110,24,2,0,0,0,2,5,0,0,0,0,1,3,284,0,0,284,0
68,7,227,85,113,1,1,1,0,2,8,1,3,0,2,3,1,455,4,0,459,0
69,5,205,96,136,5,0,1,1,0,8,1,1,1,5,5,4,474,7,0,481,0
70,0,78,82,35,0,0,0,0,0,1,0,0,0,2,2,0,200,2,0,202,0
71,3,257,74,61,1,0,0,0,3,0,1,0,1,3,3,5,412,1,0,413,0
72,25,139,435,48,4,6,0,0,3,7,2,3,1,2,3,1,679,7,0,686,0
73,0,200,37,86,0,2,0,3,2,0,0,0,3,0,1,2,336,3,0,339,0
74,1,190,204,89,0,1,2,0,4,3,1,4,5,13,9,10,536,11,0,547,0
75,9,312,107,5,2,0,4,2,0,25,2,2,2,5,7,4,488,8,0,496,0
76,6,363,163,8,0,3,1,2,0,13,1,1,2,4,2,7,576,6,0,582,0
77,1,60,30,23,0,0,3,0,0,3,0,0,0,1,0,1,122,2,0,124,0
78,1,137,13,2,1,0,0,1,0,0,0,0,0,0,2,2,159,2,0,161,0
79,6,334,55,5,3,1,2,1,2,0,0,1,0,1,1,1,413,3,0,416,0
80,6,159,72,22,1,0,0,0,0,1,1,0,2,0,0,2,266,4,0,270,0
81,2,355,174,20,1,0,1,0,0,0,1,0,0,1,2,1,558,4,0,562,0
82,7,508,92,18,3,0,3,3,0,1,4,2,2,9,6,11,669,8,0,677,0
83,15,520,156,7,1,3,4,1,1,3,1,2,2,6,8,11,741,1,0,742,0
84,6,344,125,30,1,4,0,1,1,2,0,1,2,2,0,5,524,1,0,525,0
85,14,370,232,36,4,2,3,0,2,1,3,3,5,2,9,4,690,7,0,697,0
86,8,170,102,12,8,1,0,1,3,0,0,3,2,2,71,1,384,4,0,388,0
87,9,259,97,20,0,1,3,4,2,4,6,0,1,2,69,2,479,9,0,488,0
88,11,244,115,106,5,3,1,2,3,5,3,3,0,7,84,6,598,8,0,606,0
89,12,314,94,224,2,4,1,6,8,2,5,3,1,5,6,6,693,4,0,697,0
90,7,118,109,16,3,2,5,2,2,28,2,3,1,5,6,5,314,3,0,317,0
91,7,449,70,25,13,2,2,1,0,3,0,0,1,5,9,1,588,12,0,600,0
92,1,144,78,9,4,1,1,2,0,4,1,0,0,0,0,2,247,3,0,250,0
93,6,191,198,20,1,1,4,1,1,2,1,1,2,3,2,3,437,5,0,442,0
94,3,257,77,80,0,0,1,2,0,19,1,2,2,2,2,2,450,4,0,454,0
95,10,226,371,38,2,2,4,1,2,3,4,0,1,14,2,4,684,8,0,692,0
96,4,359,90,77,1,0,2,2,0,2,0,1,2,0,1,2,543,5,0,548,0
97,3,77,75,6,2,0,2,1,0,0,1,1,2,1,1,1,173,1,0,174,0
98,3,197,69,11,3,0,0,0,1,0,1,0,1,1,3,1,291,7,0,298,0
99,4,233,119,9,1,1,1,1,0,1,0,0,0,2,2,2,376,4,0,380,0
100,4,84,120,20,0,1,3,0,0,2,1,1,0,0,1,2,239,5,0,244,0
101,2,38,38,4,0,0,0,0,0,0,0,1,0,0,5,1,89,0,0,89,0
102,8,338,80,7,0,2,2,3,1,3,1,1,2,3,12,9,472,5,0,477,0
103,3,244,106,5,0,0,0,0,1,1,0,0,0,0,1,2,363,3,0,366,0
104,2,88,124,10,0,0,0,0,1,0,0,1,0,0,0,2,228,4,0,232,0
105,7,321,247,6,2,0,3,4,1,1,3,1,2,7,3,13,621,2,0,623,0
106,2,259,76,30,2,3,2,0,0,2,0,1,0,0,1,3,381,1,0,382,0
107,4,285,87,7,1,0,3,3,0,2,0,0,0,0,1,1,394,7,0,401,0
108,5,273,158,16,3,2,1,2,3,1,0,1,3,4,0,5,477,8,0,485,0
109,5,216,96,34,1,1,2,0,0,3,1,0,1,2,2,3,367,3,0,370,0
110,17,337,180,37,2,3,2,2,1,2,1,3,0,5,1,8,601,8,0,609,0
111,4,398,66,34,4,2,1,3,0,0,0,1,0,2,0,2,517,7,0,524,0
112,4,215,143,20,2,1,4,0,1,0,1,1,2,4,0,2,400,8,0,408,0
113,1,206,51,5,0,0,0,1,0,0,0,1,1,4,3,6,279,2,0,281,0
114,2,182,53,14,2,0,2,0,0,1,1,1,0,1,3,2,264,0,0,264,0
115,4,63,19,15,0,0,0,1,1,1,0,0,0,0,0,2,106,1,0,107,0
116,0,58,6,7,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0,72,0
117,8,392,164,15,1,2,3,2,0,7,2,1,2,4,5,7,615,8,0,623,0
118,9,305,48,56,3,1,1,0,1,1,2,3,1,2,1,2,436,5,0,441,0
119,13,396,66,36,1,1,0,2,0,0,2,1,4,3,2,3,530,7,0,537,0
120,2,173,96,6,1,1,1,0,1,0,0,3,1,4,7,4,300,1,0,301,0
121,1,44,51,1,0,5,1,0,0,0,0,0,2,0,3,1,109,1,0,110,0
122,3,141,131,6,1,0,5,2,0,1,1,0,1,5,2,0,299,8,0,307,0
123,7,444,107,26,0,8,2,0,1,0,0,0,2,4,3,2,606,3,0,609,0
124,8,277,185,32,4,1,3,1,0,2,1,2,4,7,2,11,540,6,0,546,0
125,2,295,29,11,1,1,0,0,0,1,0,0,1,0,2,0,343,1,0,344,0
126,4,376,113,35,1,1,0,1,0,1,1,2,1,5,3,5,549,3,0,552,0
127,3,143,245,5,2,1,0,1,0,1,0,2,0,3,2,0,408,1,0,409,0
128,5,458,149,43,1,2,2,2,1,1,4,0,5,8,13,7,701,1,0,702,0
129,8,516,175,24,1,1,1,0,2,0,1,2,3,4,3,4,745,5,0,750,0
130,5,317,159,49,1,1,1,1,3,1,0,0,1,4,4,3,550,2,0,552,0
131,3,126,76,19,1,33,0,0,7,6,0,2,1,1,1,1,277,6,0,283,0
132,3,134,64,9,0,30,1,0,8,2,1,2,0,0,0,1,255,0,0,255,0
133,0,183,42,7,0,0,0,1,1,0,0,0,0,2,1,2,239,3,0,242,0
134,2,215,119,4,2,1,0,1,1,0,0,0,2,3,1,5,356,5,0,361,0
135,1,21,33,49,0,0,0,0,0,1,0,0,1,0,0,0,106,0,0,106,0
136,4,356,115,12,2,0,3,1,1,1,2,4,1,3,2,0,507,5,0,512,0
137,4,180,16,2,1,0,1,0,1,1,2,2,0,3,4,1,218,0,0,218,0
138,4,126,100,4,0,0,0,1,1,0,0,0,1,6,3,1,247,3,0,250,0
139,8,298,75,11,1,1,2,2,1,1,0,0,0,4,2,4,410,5,0,415,0
140,3,340,118,20,0,0,1,0,0,0,1,1,0,0,6,2,492,3,0,495,0
141,6,226,140,55,1,2,2,0,1,1,0,1,2,4,2,8,451,9,0,460,0
142,2,251,134,32,1,2,2,0,1,2,0,0,5,1,6,3,442,2,0,444,0
143,8,286,168,43,3,0,0,4,1,1,1,3,1,2,4,4,529,3,0,532,0
144,4,290,111,38,1,0,0,0,0,0,0,0,1,2,2,2,451,2,0,453,0
145,4,437,146,21,0,2,1,1,1,1,0,0,1,5,2,2,624,2,0,626,0
146,5,285,117,6,0,1,13,1,1,10,1,0,2,6,6,5,459,8,0,467,0
147,12,294,123,8,3,2,3,0,1,3,1,3,0,1,5,5,464,10,0,474,0
148,3,221,225,31,2,2,0,1,2,2,0,1,4,3,4,2,503,7,0,510,0
149,8,223,65,26,3,0,4,1,0,0,0,0,0,0,2,2,334,3,0,337,0
150,6,326,479,12,3,1,2,2,3,1,1,1,5,9,2,5,858,11,0,869,0
151,1,222,237,9,0,0,1,1,1,0,0,1,2,4,4,4,487,0,0,487,0
152,3,247,153,30,0,0,0,0,0,0,0,0,1,1,3,3,441,2,0,443,0
153,12,510,263,15,2,1,4,1,0,8,1,0,1,2,1,5,826,7,0,833,0
154,4,432,106,11,1,1,0,0,1,0,0,0,1,2,10,7,576,3,0,579,0
155,11,404,60,16,4,3,1,1,0,3,2,0,2,5,5,0,517,1,0,518,0
156,8,371,153,18,2,1,0,2,3,2,1,2,0,5,5,5,578,3,0,581,0
157,11,386,197,11,3,2,2,0,0,1,0,1,3,7,9,10,643,3,0,646,0
158,5,275,90,76,3,0,2,2,1,4,2,2,2,3,0,4,471,2,0,473,0
159,9,239,172,34,0,2,0,1,1,1,1,1,1,6,7,3,478,6,0,484,0
160,1,321,112,23,2,0,1,0,1,2,0,1,0,2,5,4,475,3,0,478,0
161,16,406,168,23,7,3,2,4,1,0,2,1,1,6,8,4,652,9,0,661,0
162,4,546,265,4,1,1,0,1,1,1,1,2,1,7,9,6,850,9,0,859,0
163,3,493,214,10,1,1,5,2,3,2,0,2,4,6,6,8,760,4,0,764,0
164,6,243,334,8,2,0,0,1,2,1,0,2,1,3,4,2,609,10,0,619,0
165,7,159,328,5,0,1,1,2,0,0,1,1,2,2,1,3,513,5,0,518,0
166,8,210,422,9,3,1,0,1,1,1,0,2,1,6,0,4,669,6,0,675,0
167,5,233,343,19,2,0,2,3,1,2,2,3,3,10,6,6,640,5,0,645,0
168,4,163,203,7,1,0,0,0,1,1,1,2,0,6,4,2,395,2,0,397,0
169,3,263,280,6,2,0,2,1,0,0,0,0,1,7,3,2,570,0,0,570,0
170,4,230,260,4,1,0,1,0,0,0,3,1,1,5,5,2,517,3,0,520,0
171,1,212,239,9,2,2,0,1,0,3,2,1,0,1,3,5,481,7,0,488,0
172,6,246,311,8,4,1,0,1,1,1,2,3,5,5,3,4,601,3,0,604,0
173,6,172,330,7,1,0,0,0,0,1,1,2,6,11,1,2,540,2,0,542,0
174,9,308,294,48,4,1,2,1,1,3,2,2,2,7,1,2,687,13,0,700,0
175,8,217,309,47,1,3,1,2,0,1,0,0,2,3,3,4,601,4,0,605,0
176,6,366,218,19,3,1,4,1,1,1,2,3,3,4,3,5,640,5,0,645,0
177,4,324,138,17,6,1,0,4,3,5,2,3,1,4,3,12,527,2,0,529,0
178,0,5,390,171,13,2,1,12,2,0,0,1,3,6,4,3,613,5,0,618,0
179,13,346,132,11,1,1,0,3,0,1,3,3,3,2,4,4,527,2,0,529,0
180,5,340,121,15,1,1,2,0,1,2,2,3,1,6,5,9,514,6,0,520,0
181,1,240,98,22,2,3,1,1,1,0,1,1,2,4,1,3,381,4,0,385,0
182,9,299,190,8,2,0,0,0,0,4,1,1,2,5,10,6,537,6,0,543,0
183,7,287,90,6,1,3,3,0,0,1,0,2,1,7,1,4,413,1,0,414,0
184,6,264,219,4,4,0,0,2,2,2,2,2,1,4,10,6,528,1,0,529,0
185,2,296,213,7,3,1,3,1,3,1,2,4,0,7,13,12,568,4,0,572,0
186,1,269,47,2,1,0,0,0,0,0,0,0,1,2,0,0,323,0,0,323,0
187,4,300,176,41,2,2,4,4,2,3,6,4,4,9,37,11,609,3,0,612,0
188,14,328,192,17,5,4,1,1,3,4,7,9,4,17,20,24,650,23,0,673,0
189,3,286,172,8,1,1,1,0,1,0,0,0,1,3,24,4,505,3,0,508,0
190,10,471,168,13,4,1,3,0,2,1,0,0,2,5,2,4,686,6,0,692,0
191,0,155,94,8,3,4,3,2,3,4,0,2,3,2,3,5,291,2,0,293,0
192,3,184,122,2,2,0,0,1,1,0,0,0,2,3,3,5,328,2,0,330,0
193,4,149,141,9,0,0,1,0,0,0,0,0,0,1,0,2,307,0,0,307,0
194,4,314,313,8,4,2,1,2,3,3,2,6,2,6,5,5,680,7,0,687,0
195,2,535,20,5,0,0,0,0,0,0,0,0,0,1,1,0,564,1,0,565,0
196,7,350,235,16,0,5,1,0,3,1,4,3,1,8,3,5,642,3,0,645,0
197,4,376,248,16,3,5,0,1,4,2,1,3,3,9,8,8,691,9,0,700,0
198,15,480,195,11,3,2,3,1,1,3,7,9,5,5,13,13,766,6,0,772,0
199,4,160,52,24,2,1,0,0,0,0,2,1,6,1,8,3,264,4,0,268,0
200,11,284,74,25,1,0,12,3,1,0,7,3,5,6,37,7,476,14,0,490,0
201,5,174,238,38,2,1,7,0,0,1,1,2,1,5,3,7,485,3,0,488,0
202,6,213,174,88,2,2,3,3,6,5,3,1,2,4,3,7,522,10,0,532,0
203,4,206,69,11,1,0,2,2,0,0,1,0,0,4,3,5,308,3,0,311,0
204,5,169,34,3,2,1,0,1,0,0,2,1,2,4,3,5,232,3,0,235,0
205,3,227,97,57,2,0,5,2,2,5,0,3,1,4,2,8,418,4,0,422,0
206,4,128,34,2,0,1,1,0,0,1,1,1,0,3,1,0,177,6,0,183,0
207,3,276,139,12,3,1,3,1,0,0,2,4,4,8,10,8,474,3,0,477,0
208,3,189,117,17,2,2,1,3,0,1,1,5,1,2,3,1,348,5,0,353,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2,168,75,29,1,0,21,2,0,1,0,0,0,2,3,5,309,3,0,312,0
211,3,197,111,17,3,0,4,1,1,2,2,0,3,3,1,3,351,4,0,355,0
212,9,212,91,14,1,1,2,3,0,1,0,2,2,3,8,2,351,4,0,355,0
213,10,245,142,77,3,3,1,2,2,8,1,4,2,3,12,12,527,5,0,532,0
214,5,608,94,17,1,1,0,0,0,3,0,1,0,3,3,2,738,9,0,747,0
215,7,207,66,49,0,0,1,2,1,1,1,4,3,0,3,7,352,5,0,357,0
216,5,252,42,77,3,4,1,4,2,1,2,2,0,5,4,9,413,3,0,416,0
217,6,288,92,70,3,3,2,4,3,2,1,6,3,9,3,1,496,6,0,502,0
218,5,348,54,192,5,1,2,2,2,3,2,6,4,9,50,8,693,7,0,700,0
219,6,283,68,3,1,0,0,1,1,0,1,3,1,2,3,2,375,4,0,379,0
220,4,204,125,19,3,2,0,2,1,0,2,2,2,6,5,6,383,5,0,388,0
221,6,200,161,23,2,1,4,1,0,2,3,5,2,7,3,7,427,1,0,428,0
222,3,103,161,53,3,0,2,0,1,4,4,4,6,11,1,3,359,2,0,361,0
223,3,280,109,21,1,1,1,1,2,0,1,0,2,1,6,5,434,0,0,434,0
224,10,348,68,17,6,3,5,0,2,4,2,4,2,0,23,4,498,3,0,501,0
225,2,309,56,11,0,1,31,3,2,0,1,0,3,1,3,4,427,5,0,432,0
226,6,277,190,2,0,1,1,0,1,3,2,5,3,6,3,4,504,6,0,510,0
227,9,217,205,13,5,0,0,3,0,1,2,2,2,1,1,6,467,3,0,470,0
228,7,170,198,7,3,2,1,2,1,0,2,3,2,2,0,5,405,0,0,405,0
229,7,524,23,110,1,0,1,7,0,2,0,2,0,5,5,4,691,5,0,696,0
230,7,322,153,28,0,0,3,0,1,11,1,1,1,1,1,10,540,3,0,543,0
231,3,365,122,19,3,0,0,2,0,15,1,0,1,2,3,2,538,2,0,540,0
232,8,488,98,17,0,0,2,1,0,1,2,1,4,3,3,9,637,9,0,646,0
233,4,403,147,47,2,0,2,1,2,1,2,1,0,3,1,4,620,2,0,622,0
234,2,246,111,12,1,3,0,0,1,0,2,0,1,0,1,5,385,5,0,390,0
235,1,678,74,36,2,0,1,0,0,0,0,1,1,2,3,2,801,4,0,805,0
236,7,640,111,18,0,0,1,1,0,7,0,0,0,0,5,6,796,5,0,801,0
237,3,673,66,42,0,0,0,2,0,7,1,0,0,0,1,2,797,5,0,802,0
238,0,455,59,22,0,0,0,1,0,0,0,1,0,0,2,2,542,10,0,552,0
239,4,252,212,30,3,0,2,1,3,6,1,0,1,1,4,3,523,3,0,526,0
240,5,124,625,32,1,3,1,6,5,2,3,1,3,7,3,15,836,1,0,837,0
241,3,107,205,23,0,0,0,1,1,1,0,2,0,4,4,3,354,5,0,359,0
242,5,141,571,34,1,0,1,0,3,1,0,0,0,9,4,10,780,3,0,783,0
243,5,346,148,12,0,3,1,4,1,0,2,0,4,5,15,4,550,4,0,554,0
244,1,113,205,17,0,0,0,0,0,0,0,1,0,0,1,3,341,1,0,342,0
245,5,395,169,29,1,2,0,2,1,1,0,1,1,1,7,1,616,7,0,623,0
246,1,377,237,21,0,1,0,1,2,5,1,0,1,1,21,1,670,3,0,673,0
247,5,256,429,14,3,1,2,2,1,2,3,1,3,8,33,7,770,11,0,781,0
248,5,380,155,32,2,1,0,1,0,8,1,0,0,1,0,0,586,4,0,590,0
249,3,404,130,24,0,1,1,0,0,3,0,0,0,1,0,1,568,3,0,571,0
250,1,164,318,18,1,1,0,0,2,3,0,0,0,1,0,2,511,4,0,515,0
251,0,21,508,31,0,8,0,1,0,0,0,0,0,1,0,6,576,7,0,583,0
252,1,221,399,54,0,6,1,0,1,5,0,1,0,0,0,5,694,6,0,700,0
253,4,522,182,27,3,0,1,1,1,8,0,2,1,4,1,3,760,3,0,763,0
254,2,450,169,29,1,0,3,4,0,7,2,0,1,12,2,2,684,2,0,686,0
255,2,370,142,31,2,2,0,1,0,21,0,2,1,4,6,6,590,7,0,597,0
256,7,397,97,11,2,1,0,1,0,2,0,2,2,3,1,1,527,4,0,531,0
257,5,471,150,26,2,1,1,3,2,8,2,2,3,4,3,5,688,2,0,690,0
258,5,471,193,37,2,0,1,0,0,3,1,0,0,1,1,1,716,2,0,718,0
259,5,590,61,26,1,0,1,0,0,12,0,2,2,0,0,1,701,6,0,707,0
260,0,400,23,7,0,0,0,0,0,2,1,0,0,1,1,2,437,3,0,440,0
261,0,363,26,11,0,1,0,0,0,6,0,1,0,1,2,3,414,4,0,418,0
262,0,260,225,13,0,0,0,0,1,0,0,1,1,6,1,3,511,2,0,513,0
263,2,674,60,10,0,1,2,1,0,9,0,1,0,2,1,0,763,4,0,767,0
264,5,357,73,8,0,0,0,0,1,1,0,0,1,0,1,2,449,6,0,455,0
265,1,333,292,24,0,2,1,0,0,1,0,4,1,3,6,1,669,3,0,672,0
266,7,353,300,23,1,1,1,1,1,0,2,1,1,3,3,6,704,5,0,709,0
267,5,335,168,13,1,0,0,2,1,2,4,2,3,9,7,12,564,22,0,586,0
268,8,313,139,74,2,1,0,1,3,2,3,2,1,5,6,6,566,3,0,569,0
269,8,460,223,8,5,1,3,2,2,7,6,10,1,5,10,8,759,8,0,767,0
270,3,504,59,10,1,0,0,1,0,2,1,0,0,2,2,9,594,1,0,595,0
271,2,690,123,12,0,2,1,0,1,9,1,0,4,3,11,6,865,5,0,870,0
