Serial No. of Polling Station,,,,,,,,,,,,,,,valid,rejected,Votes for NOTA option,Total Votes,Total No. of Tendered Votes
27,186,185,13,0,1,3,10,1,3,4,6,3,10,4,429,0,15,444,0
28,182,399,15,5,0,2,1,4,0,5,1,2,8,3,627,0,15,642,0
29,420,364,12,3,1,4,7,4,5,2,6,2,8,6,844,0,15,859,0
30,307,176,6,2,1,3,6,2,3,1,2,1,8,3,521,0,15,536,0
31,224,362,12,2,0,1,4,2,0,1,4,4,13,7,636,0,27,663,0
32,109,144,10,1,1,1,2,2,0,1,0,5,6,4,286,0,22,308,0
33,129,207,6,12,1,3,3,1,1,2,1,3,2,2,373,0,3,376,0
34,210,358,7,29,1,2,30,1,1,2,3,4,17,4,669,0,10,679,0
35,296,323,8,12,0,4,19,3,2,1,1,6,12,7,694,0,8,702,0
36,368,190,4,1,0,2,2,1,2,1,0,2,5,7,585,0,12,597,0
37,321,256,8,2,3,4,1,0,0,1,2,3,7,8,616,0,18,634,0
38,253,364,11,10,3,3,4,3,2,4,2,3,13,10,685,0,18,703,0
39,247,308,11,38,3,3,2,7,3,0,8,6,26,16,678,0,16,694,0
40,217,541,15,25,10,3,7,1,1,2,6,1,12,3,844,0,11,855,0
41,275,255,9,1,1,6,3,2,1,0,1,5,10,8,577,0,17,594,0
42,351,243,14,4,1,0,6,2,1,1,1,3,16,13,656,0,19,675,0
43,319,308,9,2,0,1,6,1,0,0,2,3,7,4,662,0,15,677,0
44,275,275,7,0,0,1,3,0,1,4,1,2,1,1,571,0,7,578,0
45,209,182,6,3,1,0,2,1,1,2,1,5,7,6,426,0,16,442,0
46,496,298,5,1,0,2,1,1,0,0,0,1,4,5,814,0,17,831,0
47,290,240,4,1,2,1,1,2,1,1,1,3,6,6,559,0,13,572,0
48,283,316,12,7,3,2,5,7,3,5,4,7,11,5,670,0,22,692,0
49,262,504,18,24,5,1,9,5,3,1,1,9,16,16,874,0,25,899,0
50,259,154,4,1,0,1,3,0,1,1,1,3,5,7,440,0,12,452,0
51,162,155,5,2,2,1,4,2,1,1,0,2,5,0,342,0,9,351,0
52,165,251,10,2,4,2,15,3,3,0,6,7,15,4,487,0,22,509,0
53,475,248,9,2,2,4,12,4,0,2,1,6,7,10,782,0,18,800,0
54,307,252,11,11,3,3,6,1,1,1,5,0,10,5,616,0,10,626,0
55,320,188,7,1,0,0,3,0,1,1,0,0,5,5,531,0,9,540,0
56,428,239,6,2,0,4,8,1,1,0,2,0,6,5,702,0,7,709,0
57,306,279,7,1,0,0,3,1,0,1,0,0,3,1,602,0,5,607,0
58,204,303,11,1,1,0,3,0,1,3,0,0,2,4,533,0,7,540,0
59,227,255,4,2,0,0,4,1,1,1,3,1,0,3,502,0,8,510,0
60,309,168,9,2,0,0,3,0,2,0,0,1,5,1,500,0,5,505,0
61,344,430,8,3,2,3,5,4,3,5,4,1,4,6,822,0,11,833,0
62,124,156,4,0,0,2,4,1,0,0,1,4,7,0,303,0,12,315,0
63,278,155,7,1,2,1,2,1,0,0,1,3,5,2,458,0,4,462,0
64,332,309,8,4,0,1,11,2,1,2,0,1,4,7,682,0,12,694,0
65,325,378,7,15,0,3,4,6,1,2,3,3,7,1,755,0,13,768,0
66,338,389,15,24,5,3,5,7,4,0,3,4,3,1,801,0,8,809,0
67,314,456,14,36,2,4,6,4,3,5,5,9,20,6,884,0,19,903,0
68,298,361,7,10,2,5,6,3,2,1,3,2,6,4,710,0,18,728,0
69,206,249,7,3,1,3,2,2,1,1,0,5,7,3,490,0,8,498,0
70,245,375,14,4,1,1,2,0,1,0,2,4,5,0,654,0,8,662,0
71,146,88,2,0,0,0,1,0,0,0,0,0,1,0,238,0,3,241,0
72,283,228,4,0,1,2,2,1,0,2,0,4,2,1,530,0,3,533,0
73,378,307,6,6,1,2,3,2,1,1,0,5,6,3,721,0,6,727,0
74,169,349,11,12,3,4,1,1,0,0,0,3,6,8,567,0,7,574,0
75,273,427,10,13,1,3,6,1,2,0,2,2,13,8,761,0,13,774,0
76,446,280,6,2,0,1,36,2,2,1,0,3,18,3,800,0,11,811,0
77,335,449,3,8,0,2,19,1,0,1,0,3,12,5,838,0,19,857,0
78,212,177,8,0,0,1,7,1,0,0,1,0,3,4,414,0,2,416,0
79,216,243,3,7,1,3,25,1,3,1,0,1,18,2,524,0,8,532,0
80,210,532,18,7,0,4,19,2,1,3,4,6,26,8,840,0,25,865,0
81,275,195,2,7,0,1,1,3,0,0,0,2,2,2,490,0,6,496,0
82,211,361,4,1,0,0,1,2,2,1,0,1,5,3,592,0,15,607,1
83,465,267,6,2,1,1,17,0,2,1,0,2,6,3,773,0,11,784,0
84,243,320,5,3,0,1,15,1,0,0,0,0,3,4,595,0,10,605,0
85,413,353,7,3,0,1,3,3,0,0,0,2,9,3,797,0,10,807,0
86,246,420,7,4,2,2,31,1,0,0,0,2,24,2,741,0,10,751,0
87,367,239,5,1,1,2,35,2,1,0,0,1,13,2,669,0,7,676,0
88,428,191,4,2,1,3,7,1,0,0,1,1,3,4,646,0,15,661,0
89,506,165,3,2,0,3,3,0,0,1,3,2,6,4,698,0,24,722,0
90,292,451,9,4,2,0,2,1,3,0,3,2,7,7,783,0,30,813,0
91,181,165,2,2,0,0,2,3,0,1,0,0,4,1,361,0,7,368,0
92,284,348,8,5,1,5,3,1,3,0,2,2,7,6,675,0,10,685,0
93,241,224,7,0,1,3,13,0,0,1,2,2,4,3,501,0,12,513,0
94,107,43,1,0,0,0,0,0,0,0,0,0,3,1,155,0,1,156,0
95,285,103,1,0,0,1,3,0,0,0,1,0,5,3,402,0,14,416,0
96,253,156,3,0,0,1,1,0,0,0,0,2,4,4,424,0,8,432,0
97,119,98,2,1,0,0,1,0,0,2,1,2,2,1,229,0,3,232,0
98,195,258,5,2,0,2,2,1,1,0,0,6,4,5,481,0,7,488,0
99,294,295,2,4,2,2,2,0,1,1,4,2,6,8,623,0,7,630,0
100,300,278,4,3,2,1,11,4,0,0,3,2,6,3,617,0,9,626,0
101,209,285,10,1,0,1,7,0,1,1,0,2,5,3,525,0,13,538,0
102,338,503,10,12,1,3,4,2,4,3,0,5,14,9,908,0,25,933,0
103,359,394,11,13,1,7,4,4,4,0,5,4,4,1,811,0,7,818,0
104,168,241,4,1,0,1,7,1,1,2,3,0,8,3,440,0,8,448,0
105,209,378,8,7,4,2,12,1,1,2,2,9,25,6,666,0,22,688,0
106,244,218,10,2,0,1,1,1,0,0,2,2,7,0,488,0,8,496,0
107,423,204,8,2,0,0,2,1,2,0,1,6,2,1,652,0,4,656,0
108,309,222,4,2,0,3,5,0,0,1,0,0,8,4,558,0,12,570,0
109,186,221,10,0,0,1,2,1,2,2,0,3,4,3,435,0,13,448,0
110,173,298,6,7,0,0,5,2,1,1,0,0,7,4,504,0,8,512,0
111,275,128,3,6,0,0,2,1,0,1,1,2,0,2,421,0,6,427,0
112,131,71,1,0,1,0,2,0,0,0,1,1,0,1,209,0,2,211,0
113,324,234,2,0,0,1,3,0,0,2,2,1,5,5,579,0,5,584,0
114,110,162,2,5,4,2,7,0,1,0,0,0,5,0,298,0,1,299,0
115,394,158,4,3,2,1,5,4,3,1,0,1,3,6,585,0,20,605,0
116,242,274,4,1,0,2,6,1,2,0,1,0,10,6,549,0,12,561,0
117,470,258,10,7,0,3,10,2,1,3,0,3,3,5,775,0,6,781,0
118,374,197,3,2,0,0,4,3,0,0,1,2,2,2,590,0,10,600,0
119,173,227,4,2,0,3,2,2,1,1,5,4,6,5,435,0,19,454,0
120,500,140,2,2,0,2,4,0,3,0,1,1,6,6,667,0,16,683,0
121,248,192,7,34,0,2,24,1,2,0,3,1,4,2,520,0,11,531,0
122,403,299,7,23,3,2,10,4,4,1,8,3,12,6,785,0,24,809,0
123,137,269,6,6,2,2,3,0,1,2,3,3,2,1,437,0,6,443,0
124,206,348,10,3,4,4,4,4,3,4,0,2,10,9,611,0,15,626,0
125,145,288,9,5,3,3,4,5,1,4,2,4,7,9,489,0,16,505,0
126,298,219,5,1,1,2,7,1,0,0,1,1,6,5,547,0,12,559,0
127,287,244,10,0,0,1,3,5,1,0,1,3,4,2,561,0,5,566,0
128,185,140,4,0,0,2,1,1,1,1,1,0,3,1,340,0,6,346,0
129,149,299,8,6,2,2,3,2,0,1,0,3,6,9,490,0,12,502,0
130,309,256,15,1,0,4,3,2,1,2,1,7,9,8,618,0,15,633,0
131,322,172,3,3,2,3,4,1,2,1,2,0,4,1,520,0,14,534,0
132,94,56,1,0,0,0,2,0,0,0,0,0,0,1,154,0,5,159,0
133,226,412,6,11,0,2,2,3,1,3,3,5,11,4,689,0,26,715,0
134,290,126,1,0,0,0,2,0,0,2,0,0,6,2,429,0,3,432,0
135,457,200,4,1,2,1,3,3,0,2,0,1,3,3,680,0,7,687,0
136,214,251,9,18,0,0,4,0,1,0,1,1,5,1,505,0,7,512,0
137,235,186,1,4,1,0,2,0,0,0,0,1,0,0,430,0,15,445,0
138,312,284,7,15,3,3,3,1,3,1,2,2,10,5,651,0,15,666,0
139,155,199,3,0,1,4,4,0,0,1,1,1,12,4,385,0,10,395,0
140,234,219,2,4,0,1,1,0,1,0,1,1,2,2,468,0,9,477,0
141,340,321,5,32,1,2,4,0,1,1,2,1,3,4,717,0,11,728,0
142,380,180,9,11,0,0,6,1,3,1,0,6,10,5,612,0,30,642,0
143,277,210,5,8,1,0,9,1,1,0,2,7,5,8,534,0,11,545,0
144,540,164,1,3,0,5,9,0,1,0,2,0,3,2,730,0,17,747,0
145,528,191,4,0,0,1,10,2,0,0,2,0,4,2,744,0,15,759,0
146,499,128,5,2,0,0,6,1,0,0,0,2,3,1,647,0,11,658,0
147,418,134,9,2,1,3,2,2,1,1,0,2,6,9,590,0,25,615,0
148,326,191,6,17,2,2,4,2,1,1,0,4,5,8,569,0,13,582,0
149,146,407,11,8,2,0,0,0,0,1,0,1,2,1,579,0,3,582,0
150,456,184,1,4,1,0,4,3,1,1,1,3,5,4,668,0,19,687,0
151,518,87,5,4,1,2,16,1,3,1,2,0,4,6,650,0,16,666,0
152,400,164,3,0,0,0,2,0,1,0,1,1,2,2,576,0,11,587,0
153,160,617,7,0,0,1,13,0,0,0,0,1,2,2,803,0,9,812,0
154,368,292,4,1,2,2,5,2,0,1,1,0,9,6,693,0,9,702,0
155,487,287,11,7,1,3,34,1,1,0,1,4,15,9,861,0,27,888,0
156,161,376,7,3,3,0,8,1,1,0,2,3,10,5,580,0,29,609,0
157,374,346,7,11,3,1,4,1,0,1,5,3,9,5,770,0,8,778,0
158,222,228,13,1,0,1,2,0,0,2,1,4,2,10,486,0,13,499,0
159,205,133,2,1,0,0,1,1,0,1,0,3,1,0,348,0,8,356,0
160,259,180,6,2,1,2,7,1,0,0,1,5,4,4,472,0,18,490,0
161,200,214,9,4,2,1,1,1,0,1,1,1,3,2,440,0,10,450,0
162,263,93,3,5,1,0,6,1,0,1,1,1,6,7,388,0,6,394,0
163,240,197,1,2,1,1,5,4,1,1,3,2,7,8,473,0,15,488,0
164,401,182,5,3,4,1,12,1,1,2,1,2,10,5,630,0,24,654,0
165,326,252,0,0,2,1,5,1,1,0,2,1,5,6,602,0,11,613,0
166,306,304,6,4,0,3,3,2,3,1,1,2,5,5,645,0,14,659,0
167,407,216,2,0,0,2,4,0,0,0,1,2,1,1,636,0,13,649,0
168,244,268,9,5,4,1,1,2,1,1,2,3,6,4,551,0,12,563,0
169,195,58,1,0,1,0,6,0,0,0,3,2,1,1,268,0,13,281,0
170,450,116,3,0,0,0,0,0,0,0,0,0,0,2,571,0,7,578,0
171,135,175,0,1,1,0,4,2,0,0,1,0,4,4,327,0,14,341,0
172,329,196,11,5,2,5,5,3,2,3,3,6,12,10,592,0,17,609,0
173,182,304,10,1,4,0,2,2,1,0,1,4,7,5,523,0,11,534,0
174,202,65,1,14,0,0,1,0,1,1,1,2,5,4,297,0,5,302,0
175,179,214,6,1,2,3,49,0,1,0,3,3,15,12,488,0,15,503,0
176,246,110,4,0,1,0,1,1,2,1,4,2,4,8,384,0,10,394,0
177,286,226,6,4,2,1,2,1,1,2,1,1,7,11,551,0,17,568,0
178,424,153,2,1,1,1,3,0,1,1,1,0,2,7,597,0,23,620,0
179,74,94,5,5,1,2,6,0,0,0,0,0,2,0,189,0,2,191,0
180,237,87,6,30,2,1,2,0,1,1,5,1,3,4,380,0,8,388,0
181,452,248,6,65,4,1,5,2,2,3,3,3,8,4,806,0,25,831,0
182,234,185,5,0,2,2,0,0,0,1,2,1,6,4,442,0,8,450,0
183,253,159,5,2,0,1,4,1,0,1,2,1,4,2,435,0,5,440,0
184,217,229,7,19,2,2,1,2,1,2,1,2,11,4,500,0,21,521,0
185,252,219,6,103,0,3,6,3,1,1,4,6,11,6,621,0,14,635,0
186,335,336,9,5,2,0,1,1,1,1,0,4,11,5,711,0,11,722,0
187,340,183,8,4,1,2,2,0,0,0,0,2,6,4,552,0,18,570,0
188,300,264,11,29,0,2,10,3,1,1,1,0,4,2,628,0,16,644,0
189,272,271,11,8,2,0,3,3,0,0,2,1,4,3,580,0,9,589,0
190,481,129,6,20,2,2,3,0,2,1,2,1,8,2,659,0,12,671,0
191,404,173,5,0,0,0,6,0,0,0,1,2,10,8,609,0,17,626,0
192,177,196,4,8,1,1,2,1,3,2,2,1,7,7,412,0,5,417,0
193,227,203,6,17,0,3,2,2,2,4,2,4,5,4,481,0,11,492,0
194,375,302,18,6,1,2,11,5,2,2,2,5,21,9,761,0,15,776,0
195,543,225,0,2,2,1,6,2,1,1,1,3,5,8,800,0,14,814,0
196,434,234,4,2,1,2,12,0,0,1,2,2,8,2,704,0,14,718,0
197,415,171,3,1,0,2,7,0,0,2,1,2,9,3,616,0,14,630,0
198,272,225,4,26,4,0,8,3,1,2,0,2,12,8,567,0,20,587,0
199,556,129,3,1,0,2,8,1,1,4,0,5,6,5,721,0,13,734,0
200,441,213,6,4,4,2,8,1,0,2,1,1,3,3,689,0,20,709,0
201,236,370,2,1,1,1,13,0,0,0,1,0,4,3,632,0,10,642,0
202,403,306,11,8,0,1,26,0,2,3,3,1,7,3,774,0,12,786,0
203,105,505,6,4,2,1,3,0,1,0,0,1,4,9,641,0,12,653,0
204,450,175,4,1,2,1,10,2,1,1,2,0,7,7,663,0,27,690,0
205,274,237,12,1,0,1,5,0,1,1,0,0,5,7,544,0,19,563,0
206,235,148,3,10,0,1,0,0,0,1,0,1,3,0,402,0,9,411,0
207,220,197,5,6,0,0,3,0,0,0,1,3,1,3,439,0,2,441,0
208,355,155,2,14,0,0,3,2,1,1,2,2,8,5,550,0,12,562,0
209,531,142,4,17,1,0,1,3,0,3,3,0,8,7,720,0,6,726,0
210,91,168,2,4,1,0,0,1,1,0,1,3,0,3,275,0,5,280,0
211,229,108,7,11,0,0,2,0,2,0,1,1,6,4,371,0,8,379,0
212,300,213,7,18,0,2,8,2,3,1,3,3,9,5,574,0,17,591,0
213,211,371,12,4,0,3,6,2,0,3,2,5,8,5,632,0,17,649,0
214,453,215,7,4,0,3,9,0,2,0,2,2,5,3,705,0,12,717,0
215,415,276,10,65,1,2,9,2,3,4,13,5,8,12,825,0,26,851,0
216,211,129,2,30,2,0,51,1,1,0,3,1,16,4,451,0,2,453,0
217,288,180,6,17,0,0,7,1,1,3,2,1,8,4,518,0,8,526,0
218,116,170,3,53,1,2,2,1,2,1,0,1,3,3,358,0,3,361,0
219,166,128,4,3,0,0,3,0,0,0,2,1,4,1,312,0,6,318,0
220,202,232,11,24,2,0,6,1,4,0,8,5,4,6,505,0,12,517,0
221,317,105,5,6,1,0,1,1,0,1,2,2,12,9,462,0,17,479,0
222,179,153,3,0,0,1,4,1,0,1,1,0,3,1,347,0,2,349,0
