polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,valid,rejected,nota,total,tendered
35,13,156,86,3,1,0,0,2,6,7,6,8,288,0,22,310,0
36,11,307,168,6,1,1,0,1,0,2,5,2,504,0,16,520,0
37,5,258,171,7,2,0,0,4,1,7,7,12,474,0,18,492,0
38,18,410,122,4,3,0,2,0,7,2,7,6,581,0,22,603,0
39,4,473,49,1,0,1,0,0,1,1,1,4,535,0,5,540,0
40,17,302,39,2,0,0,0,1,0,1,2,3,367,0,4,371,0
41,15,477,99,5,3,0,0,0,4,2,6,10,621,0,15,636,0
42,2,481,5,0,0,0,0,0,0,0,0,0,488,0,2,490,0
43,9,600,23,0,0,0,2,0,0,0,3,16,653,0,3,656,0
44,19,353,103,5,1,0,1,2,4,1,6,8,503,0,19,522,0
45,3,276,115,6,1,1,0,3,3,1,7,16,432,0,26,458,0
46,15,314,70,1,1,2,0,1,0,2,14,21,441,0,13,454,0
47,5,300,42,4,2,0,0,2,2,5,9,7,378,0,26,404,0
48,14,260,64,2,5,2,2,1,2,4,5,9,370,0,15,385,0
49,3,527,13,0,0,1,0,0,0,0,0,2,546,0,3,549,0
50,1,385,17,1,0,0,0,1,0,2,2,0,409,0,2,411,0
51,7,481,38,4,2,0,0,1,2,2,7,6,550,0,4,554,0
52,16,260,45,3,0,0,0,1,0,2,6,6,339,0,12,351,0
53,19,244,69,1,1,0,1,0,1,0,2,0,338,0,7,345,0
54,11,261,142,6,1,5,0,0,1,3,5,2,437,0,7,444,0
55,11,143,51,4,2,1,2,1,0,0,6,3,224,0,9,233,0
56,18,567,43,2,1,0,0,1,3,2,3,5,645,0,11,656,0
57,14,473,36,3,0,0,0,1,2,2,4,19,554,0,36,590,0
58,9,370,27,3,1,1,1,1,0,1,0,1,415,0,8,423,0
59,31,294,21,5,3,1,2,2,1,2,5,30,397,0,67,464,0
60,41,323,62,7,2,1,1,2,1,3,10,14,467,0,60,527,0
61,16,467,19,1,0,0,0,1,0,1,4,6,515,0,6,521,0
62,6,208,267,3,1,0,0,1,2,5,4,6,503,0,8,511,0
63,4,273,55,0,0,0,0,0,0,1,1,1,335,0,2,337,0
64,10,108,54,2,1,1,0,2,1,0,2,2,183,0,8,191,0
65,2,84,465,11,2,1,0,3,2,1,5,4,580,0,10,590,0
66,2,65,465,5,0,1,2,1,6,1,5,1,554,0,8,562,0
67,4,140,107,1,1,0,2,0,1,2,4,2,264,0,6,270,0
68,9,185,96,7,1,0,0,0,0,1,5,2,306,0,12,318,0
69,16,228,221,5,1,2,1,3,5,4,13,18,517,0,25,542,0
70,5,102,168,1,0,1,0,0,6,1,4,4,292,0,5,297,0
71,7,210,247,4,0,1,1,0,3,1,7,6,487,0,7,494,0
72,3,172,139,2,0,2,0,1,2,0,3,5,329,0,9,338,0
73,4,186,138,2,2,0,0,1,1,0,4,1,339,0,9,348,0
74,7,249,92,2,0,0,0,0,1,1,4,9,365,0,9,374,0
75,5,108,118,1,2,2,1,4,1,5,11,4,262,0,14,276,0
76,11,348,184,3,0,1,2,1,0,0,5,9,564,0,11,575,0
77,4,197,215,5,3,0,0,0,2,3,4,3,436,0,9,445,0
78,7,228,202,1,1,0,2,0,2,2,8,5,458,0,13,471,0
79,8,272,175,5,0,0,0,0,0,3,5,10,478,0,9,487,0
80,14,497,115,4,1,0,0,0,2,1,4,5,643,0,11,654,0
81,2,532,197,1,0,0,0,0,1,0,0,0,733,0,2,735,0
82,5,386,169,3,0,1,1,0,2,3,7,2,579,0,5,584,0
83,18,292,237,7,0,1,1,3,3,2,8,2,574,0,8,582,0
84,13,233,152,3,3,1,1,3,5,8,15,6,443,0,18,461,0
85,10,321,87,4,0,2,1,4,2,2,11,10,454,0,8,462,0
86,10,220,330,2,2,0,0,2,3,2,5,6,582,0,10,592,0
87,16,225,264,3,1,0,1,1,0,1,3,3,518,0,3,521,0
88,7,225,108,3,0,2,0,0,1,3,2,7,358,0,3,361,0
89,13,181,130,6,3,2,3,1,1,2,12,6,360,0,18,378,0
90,8,110,237,4,1,3,1,2,4,6,10,5,391,0,23,414,0
91,18,359,129,3,1,1,3,1,2,5,11,14,547,0,59,606,0
92,31,300,180,3,2,3,2,3,1,0,5,6,536,0,26,562,0
93,8,200,617,5,2,0,2,1,4,2,9,9,859,0,8,867,0
94,6,68,605,2,3,0,0,0,4,3,8,3,702,0,14,716,0
95,2,428,73,4,1,0,0,0,0,0,0,0,508,0,5,513,0
96,10,359,200,16,1,2,2,1,3,4,7,10,615,0,24,639,0
97,3,335,415,17,2,0,0,0,0,1,1,1,775,0,4,779,0
98,9,133,424,6,0,2,3,1,0,3,12,1,594,0,9,603,0
99,18,396,130,11,1,2,1,2,2,3,12,12,590,0,42,632,0
100,16,320,125,4,2,0,3,2,1,2,10,7,492,0,18,510,0
101,2,365,36,0,0,0,0,0,0,0,2,0,405,0,6,411,0
102,3,278,135,1,0,0,0,2,1,2,3,0,425,0,7,432,0
103,12,395,240,4,1,2,3,3,3,3,14,17,697,0,42,739,0
104,23,370,40,6,1,0,3,0,0,2,3,10,458,0,16,474,0
105,15,225,55,1,1,0,1,1,1,0,5,3,308,0,8,316,0
106,6,317,88,4,0,1,0,0,0,3,4,4,427,0,3,430,0
107,12,486,78,1,1,0,0,0,3,3,0,13,597,0,41,638,0
108,8,355,53,5,2,1,1,5,1,6,9,12,458,0,22,480,0
109,13,596,16,1,1,0,0,0,2,3,5,7,644,0,19,663,0
110,7,687,8,2,0,1,0,0,0,0,2,3,710,0,4,714,0
111,7,628,22,2,0,0,0,0,2,1,1,1,664,0,2,666,0
112,8,464,71,3,1,0,1,0,1,1,2,9,561,0,14,575,0
113,11,420,47,1,2,0,0,1,2,0,4,4,492,0,12,504,0
114,24,342,94,4,2,1,2,3,3,3,13,16,507,0,43,550,0
115,14,411,45,0,0,2,0,6,0,3,4,11,496,0,19,515,0
116,12,363,68,4,0,0,0,1,4,0,3,12,467,0,21,488,0
117,1,372,71,3,2,0,1,0,0,0,0,2,452,0,14,466,0
118,17,371,224,6,2,1,2,6,2,4,8,10,653,0,47,700,0
119,19,215,35,3,1,2,1,1,3,3,2,3,288,0,19,307,0
120,10,418,86,1,3,1,1,2,2,3,3,6,536,0,18,554,0
121,10,263,25,2,1,1,1,0,0,2,4,4,313,0,11,324,0
122,25,256,61,7,2,4,0,4,2,5,11,14,391,0,34,425,0
123,18,324,46,6,2,1,2,2,2,4,4,9,420,0,12,432,0
124,8,129,60,5,0,0,0,4,1,2,5,10,224,0,17,241,0
125,17,335,188,7,3,0,1,0,0,2,7,8,568,0,10,578,0
126,40,400,121,10,6,4,4,2,6,7,12,25,637,0,39,676,0
127,15,256,74,8,0,0,3,0,1,1,5,10,373,0,12,385,0
128,15,364,35,0,2,0,0,3,1,5,5,9,439,0,26,465,0
129,8,379,42,3,0,2,2,0,2,0,6,8,452,0,13,465,0
130,3,256,38,1,0,0,0,0,0,0,0,1,299,0,1,300,0
131,16,319,114,2,1,0,0,0,2,0,1,5,460,0,15,475,0
132,3,306,99,3,0,1,1,1,4,1,3,4,426,0,5,431,0
133,10,290,67,2,1,0,1,4,1,0,7,5,388,0,21,409,0
134,15,250,64,3,1,0,0,3,3,0,3,4,346,0,5,351,0
135,16,367,60,2,0,0,0,1,1,0,2,3,452,0,3,455,0
136,16,356,66,8,1,1,2,0,1,1,5,12,469,0,44,513,0
137,3,470,46,2,0,0,0,0,4,0,0,1,526,0,1,527,0
138,0,552,26,1,1,0,0,1,0,0,0,0,581,0,0,581,0
139,9,532,61,1,2,1,1,1,4,2,7,24,645,0,36,681,0
140,1,582,49,4,0,0,0,0,1,0,3,6,646,0,4,650,0
141,18,392,50,3,0,1,1,6,1,2,5,12,491,0,25,516,0
142,3,548,66,2,1,1,0,0,0,0,2,1,624,0,4,628,0
143,5,479,51,0,0,2,1,0,0,0,1,0,539,0,3,542,0
144,18,449,186,1,1,0,0,0,1,0,4,2,662,0,9,671,0
145,16,547,114,6,0,0,0,1,3,4,9,14,714,0,6,720,0
146,15,447,88,3,0,1,2,1,1,0,3,14,575,0,19,594,0
147,10,269,200,1,0,0,1,3,0,1,8,4,497,0,14,511,0
148,4,429,70,2,2,1,0,0,0,1,1,2,512,0,2,514,0
149,5,316,224,3,0,1,2,0,2,1,3,3,560,0,10,570,0
150,4,398,142,4,1,0,0,0,1,1,7,5,563,0,11,574,0
151,5,252,109,1,0,0,2,0,0,3,2,3,377,0,15,392,0
152,19,237,40,5,3,0,3,0,0,1,3,22,333,0,26,359,0
153,33,422,41,3,0,0,1,2,0,2,6,10,520,0,30,550,0
154,13,618,106,2,2,1,1,0,2,2,5,7,759,0,12,771,0
155,7,298,196,2,0,0,1,0,2,2,6,4,518,0,17,535,0
156,9,296,112,2,0,0,1,0,2,1,5,4,432,0,12,444,0
157,9,385,114,4,0,0,0,0,1,1,0,2,516,0,4,520,0
158,11,369,162,7,3,0,0,1,3,2,8,9,575,0,20,595,0
159,15,356,135,1,1,1,0,4,0,0,14,8,535,0,14,549,0
160,8,340,242,9,0,0,2,0,1,4,4,5,615,0,19,634,0
161,23,526,68,1,1,0,0,1,1,5,4,14,644,0,25,669,0
162,7,407,100,0,0,0,0,1,1,2,0,5,523,0,5,528,0
163,12,692,46,5,0,1,0,4,2,0,8,8,778,0,13,791,0
164,9,190,104,1,0,0,2,0,1,1,3,4,315,0,5,320,0
165,13,269,92,4,0,0,1,2,1,1,6,8,397,0,14,411,0
166,9,394,71,2,1,0,1,2,2,3,3,3,491,0,7,498,0
167,3,411,81,4,1,0,0,1,2,2,0,6,511,0,8,519,0
168,6,208,162,4,1,1,1,4,36,4,15,8,450,0,11,461,0
169,9,314,192,8,2,1,2,4,21,7,9,18,587,0,46,633,0
170,7,455,44,0,2,1,0,2,2,0,3,4,520,0,4,524,0
171,8,385,120,6,1,3,0,2,2,3,5,5,540,0,21,561,0
172,14,286,83,1,1,2,1,0,5,3,8,6,410,0,21,431,0
173,20,276,37,0,0,0,0,0,2,0,3,5,343,0,11,354,0
174,11,291,44,1,0,0,2,2,2,1,4,11,369,0,19,388,0
175,8,422,58,3,0,0,2,1,0,1,1,1,497,0,9,506,0
176,14,379,30,1,1,0,2,2,2,2,6,6,445,0,16,461,0
177,8,317,89,1,2,0,0,0,1,2,1,6,427,0,25,452,0
178,16,410,77,5,2,1,1,1,1,0,6,4,524,0,27,551,0
179,18,386,126,4,2,0,0,2,0,2,7,10,557,0,8,565,0
180,7,290,92,2,3,0,3,0,2,2,5,10,416,0,5,421,0
181,16,295,40,2,1,2,1,3,3,5,19,8,395,0,18,413,0
182,3,669,53,0,1,0,0,1,1,0,0,1,729,0,5,734,0
183,7,320,116,1,1,0,0,0,1,0,6,6,458,0,12,470,0
184,22,301,141,1,1,0,1,4,2,0,4,5,482,0,13,495,0
185,10,154,256,7,1,1,1,1,1,1,14,10,457,0,13,470,0
186,16,164,77,2,0,0,0,2,0,3,3,8,275,0,13,288,0
187,19,471,55,4,2,1,0,3,2,2,7,15,581,0,52,633,0
188,13,294,156,6,3,0,0,1,3,3,8,10,497,0,15,512,0
189,7,213,113,3,2,1,0,1,1,2,3,10,356,0,22,378,0
190,8,345,25,2,1,0,0,0,1,1,3,3,389,0,17,406,0
191,16,335,135,4,4,0,0,4,1,5,5,9,518,0,27,545,0
192,13,385,134,9,1,2,1,3,3,3,4,8,566,0,24,590,0
193,6,373,136,3,4,1,1,0,1,1,7,5,538,0,29,567,0
194,20,508,125,5,2,1,1,1,3,2,8,12,688,0,22,710,0
195,6,422,69,0,0,1,0,1,4,2,8,11,524,0,17,541,0
196,15,201,21,2,2,0,0,1,1,1,1,4,249,0,5,254,0
197,11,343,33,1,0,0,1,0,2,2,13,12,418,0,26,444,0
198,10,227,115,1,0,1,0,1,4,4,10,12,385,0,15,400,0
199,11,318,248,5,2,1,0,0,0,2,0,4,591,0,9,600,0
200,4,104,50,1,0,0,0,0,0,0,4,1,164,0,5,169,0
201,3,162,270,4,0,0,0,0,3,0,11,3,456,0,6,462,0
202,10,372,124,1,1,0,1,3,1,0,6,8,527,0,9,536,0
203,8,286,83,4,4,1,0,3,3,3,7,13,415,0,19,434,0
204,8,450,173,3,0,1,1,3,3,2,7,7,658,0,24,682,0
205,7,197,192,6,2,0,1,2,3,6,6,8,430,0,18,448,0
206,5,178,172,6,0,0,0,1,4,1,6,11,384,0,10,394,0
207,5,336,199,4,1,0,0,1,0,2,4,6,558,0,7,565,0
208,10,382,116,0,1,0,2,1,1,3,4,8,528,0,21,549,0
209,7,241,70,1,1,0,0,2,2,4,9,4,341,0,13,354,0
210,11,335,49,3,1,1,0,0,1,2,4,13,420,0,12,432,0
211,17,365,138,2,2,1,1,2,2,2,4,10,546,0,24,570,0
212,15,322,129,3,3,2,1,4,4,2,5,12,502,0,21,523,0
213,8,289,270,3,4,0,2,1,3,5,8,8,601,0,20,621,0
214,0,160,126,1,0,0,0,0,2,0,2,0,291,0,3,294,0
215,6,332,106,0,1,0,0,1,1,4,7,4,462,0,12,474,0
216,10,233,251,2,0,0,1,3,1,2,3,6,512,0,9,521,0
217,11,250,141,1,1,0,1,1,0,0,1,1,408,0,6,414,0
218,6,276,102,0,1,0,1,0,1,5,5,6,403,0,7,410,0
219,14,278,246,1,1,2,0,2,1,1,4,0,550,0,10,560,0
220,10,247,167,3,0,0,0,1,2,2,0,8,440,0,6,446,0
221,3,435,184,8,0,1,1,0,1,0,7,4,644,0,7,651,0
222,4,276,293,5,2,0,0,1,2,0,2,3,588,0,8,596,0
223,4,181,114,10,0,1,0,1,0,3,3,1,318,0,9,327,0
224,4,223,157,2,0,0,2,0,3,4,13,7,415,0,18,433,0
225,2,396,55,1,0,0,0,0,0,1,2,2,459,0,3,462,0
226,9,299,166,6,0,1,2,1,7,1,15,13,520,0,11,531,0
227,5,145,92,0,1,0,0,0,0,7,7,1,258,0,8,266,0
228,10,351,27,0,0,1,0,0,0,2,5,7,403,0,10,413,0
229,1,239,167,4,3,0,0,0,3,1,0,2,420,0,2,422,0
230,5,482,128,7,0,2,0,1,1,2,1,9,638,0,12,650,0
231,6,396,48,0,3,0,0,1,2,3,8,6,473,0,10,483,0
232,9,348,92,5,0,2,2,1,0,1,5,3,468,0,9,477,0
233,4,280,171,5,0,0,0,2,4,1,6,4,477,0,10,487,0
234,2,143,176,3,2,0,0,2,3,1,3,8,343,0,6,349,0
235,7,181,64,2,4,0,1,2,4,3,4,5,277,0,17,294,0
236,25,397,155,13,7,0,2,14,5,5,12,13,648,0,68,716,0
237,5,289,171,2,0,1,0,0,0,0,9,2,479,0,3,482,0
238,10,312,191,11,4,0,1,2,2,2,6,1,542,0,11,553,0
239,6,552,171,6,2,1,2,2,1,0,5,10,758,0,12,770,0
240,6,424,169,6,1,1,1,0,3,0,2,4,617,0,9,626,0
241,9,440,256,3,0,1,1,2,3,2,6,6,729,0,17,746,0
242,7,172,81,1,0,0,1,2,2,1,6,10,283,0,10,293,0
243,10,426,135,7,2,1,0,3,5,2,8,8,607,0,14,621,0
244,7,517,175,3,1,1,0,1,1,1,6,12,725,0,15,740,0
245,7,453,111,5,3,1,0,0,2,1,11,17,611,0,24,635,0
246,8,269,153,3,0,0,0,0,2,1,5,14,455,0,19,474,0
247,1,689,165,1,1,0,0,1,0,0,4,2,864,0,6,870,0
248,2,224,165,0,1,0,1,1,0,3,5,3,405,0,10,415,0
249,11,244,123,0,1,0,0,0,1,0,3,4,387,0,2,389,0
250,6,328,147,3,1,0,0,1,0,1,5,9,501,0,9,510,0
