polling station,,,,,,,,,valid,rejected,NOTA,total,tendered
32,840,59,0,0,1,1,1,13,915,0,7,922,0
33,896,58,5,1,1,2,0,11,974,0,11,985,0
34,866,100,3,0,3,1,1,1,975,0,10,985,0
35,754,162,5,2,2,1,1,1,928,0,10,938,0
36,676,147,3,0,5,0,1,12,844,0,7,851,0
37,603,165,4,1,2,1,3,3,782,0,9,791,0
38,531,21,0,0,0,0,0,7,559,0,7,566,0
39,714,55,0,1,0,0,0,11,781,0,7,788,0
40,914,51,0,0,0,0,0,4,969,0,6,975,0
41,886,63,0,0,0,0,0,7,956,0,10,966,0
42,681,80,0,0,1,0,0,2,764,0,3,767,0
43,726,35,2,0,1,0,0,3,767,0,7,774,0
44,828,79,3,0,0,0,0,3,913,0,4,917,0
45,767,87,0,1,0,0,0,10,865,0,10,875,0
46,654,152,0,1,0,1,0,5,813,0,17,830,1
47,558,244,4,1,8,0,0,14,829,0,28,857,0
48,852,115,3,1,1,0,1,7,980,0,18,998,0
49,726,41,0,0,0,0,0,3,770,0,4,774,0
50,678,42,0,0,1,0,0,3,724,0,5,729,0
51,815,163,4,2,3,0,0,9,996,0,10,1006,0
52,705,191,2,2,5,0,0,12,917,0,18,935,0
53,774,169,7,0,3,1,2,8,964,0,9,973,0
54,594,175,3,0,1,0,2,4,779,0,10,789,0
55,768,164,4,1,1,0,1,10,949,0,10,959,0
56,647,269,4,2,2,0,3,8,935,0,10,945,0
57,535,237,2,1,0,0,1,5,781,0,3,784,0
58,893,102,0,1,0,0,0,2,998,0,7,1005,0
59,854,100,7,1,0,1,0,9,972,0,6,978,0
60,678,127,3,0,0,1,2,1,812,0,7,819,0
61,566,170,6,3,0,1,1,6,753,0,12,765,0
62,572,99,2,4,0,0,0,15,692,0,13,705,0
63,812,67,1,0,1,1,0,6,888,0,9,897,0
64,475,52,0,1,0,0,0,6,534,0,18,552,0
65,687,144,2,0,2,1,1,11,848,0,14,862,0
66,471,66,0,2,2,0,0,5,546,0,9,555,0
67,833,69,1,0,0,0,0,16,919,0,8,927,0
68,746,51,2,0,0,0,0,21,820,0,12,832,0
69,682,83,2,0,0,1,0,6,774,0,12,786,0
70,222,139,0,0,0,0,1,4,366,0,1,367,0
71,204,109,1,2,1,0,0,6,323,0,5,328,0
72,155,146,3,0,2,0,0,1,307,0,9,316,0
73,587,248,10,2,2,2,4,13,868,0,21,889,0
74,251,92,2,0,1,0,0,3,349,0,3,352,0
75,337,248,12,1,0,0,8,13,619,0,19,638,0
76,545,222,4,0,2,0,1,12,786,0,9,795,0
77,553,121,0,0,2,1,0,1,678,0,7,685,0
78,723,79,3,1,1,1,1,4,813,0,8,821,0
79,619,128,0,1,4,2,0,6,760,0,10,770,0
80,754,175,3,0,4,1,0,7,944,0,20,964,0
81,251,101,1,1,2,1,1,3,361,0,6,367,0
82,574,121,6,0,2,1,1,13,718,0,23,741,0
83,351,61,1,0,0,1,1,8,423,0,5,428,0
84,206,40,2,0,0,0,0,7,255,0,3,258,0
85,563,117,5,1,2,1,1,5,695,0,26,721,0
86,515,97,5,0,4,2,3,9,635,0,18,653,0
87,455,223,8,1,1,0,2,13,703,0,16,719,0
88,816,176,4,2,5,0,3,6,1012,0,17,1029,0
89,564,132,2,2,0,2,4,4,710,0,43,753,0
90,489,410,5,1,1,0,2,1,909,0,14,923,0
91,425,222,7,0,0,0,1,4,659,0,8,667,0
92,287,102,6,0,0,0,0,11,406,0,8,414,0
92,434,138,3,0,0,0,1,2,578,0,6,584,0
93,479,262,5,4,4,1,1,11,767,0,15,782,0
94,551,215,15,4,5,1,1,9,801,0,23,824,0
95,469,212,1,2,2,0,0,13,699,0,35,734,0
96,384,92,3,1,1,0,0,7,488,0,3,491,0
97,474,81,3,0,0,0,0,12,570,0,4,574,0
98,496,101,4,2,1,0,0,9,613,0,15,628,0
99,752,193,3,1,0,0,2,7,958,0,9,967,0
100,639,81,2,1,0,0,0,23,746,0,7,753,0
101,634,82,0,1,0,0,2,8,727,0,10,737,0
102,606,133,1,0,3,0,0,20,763,0,10,773,0
103,580,66,3,0,0,0,0,4,653,0,5,658,0
104,670,46,0,0,2,0,0,10,728,0,7,735,0
105,567,96,0,2,0,0,0,3,668,0,3,671,0
106,744,74,1,0,0,0,0,10,829,0,15,844,0
107,819,104,5,0,0,0,0,12,940,0,15,955,0
108,658,130,3,1,0,0,0,7,799,0,11,810,0
109,678,67,1,0,1,0,1,18,766,0,9,775,0
110,753,109,7,1,0,0,1,11,882,0,13,895,0
111,653,102,3,0,1,1,0,2,762,0,11,773,0
112,753,143,7,1,2,2,3,5,916,0,8,924,0
113,517,280,5,0,3,0,1,5,811,0,4,815,0
114,813,72,6,2,3,0,1,4,901,0,24,925,0
115,745,120,1,0,4,0,0,12,882,0,9,891,0
116,803,70,8,0,2,0,0,8,891,0,4,895,0
117,515,67,1,2,0,0,1,9,595,0,6,601,0
118,492,62,2,0,2,0,1,13,572,0,7,579,0
119,882,70,1,1,3,0,1,12,970,0,6,976,0
120,795,90,0,0,2,1,0,13,901,0,3,904,0
121,790,101,8,0,1,0,1,21,922,0,8,930,0
122,780,63,5,0,2,0,1,10,861,0,12,873,0
123,812,86,0,1,3,2,0,5,909,0,12,921,0
124,704,114,2,0,1,0,0,5,826,0,5,831,0
125,734,172,3,2,2,0,1,9,923,0,15,938,0
126,768,145,5,2,3,0,4,15,942,0,16,958,0
127,820,96,3,0,3,0,1,5,928,0,10,938,0
128,688,128,1,0,0,0,0,5,822,0,7,829,0
129,850,110,3,2,5,0,0,14,984,0,11,995,0
130,564,72,2,1,2,1,1,7,650,0,13,663,0
131,423,51,0,1,1,0,0,5,481,0,6,487,0
132,773,76,3,0,2,0,3,4,861,0,11,872,0
133,493,89,3,0,3,0,0,7,595,0,15,610,0
134,775,143,4,1,2,1,3,7,936,0,8,944,0
135,506,141,1,1,0,1,2,5,657,0,11,668,0
136,549,112,0,2,1,0,0,2,666,0,7,673,0
137,585,149,4,1,1,2,0,7,749,0,14,763,0
138,714,166,1,0,0,0,0,1,882,0,9,891,0
139,538,248,6,0,1,1,4,13,811,0,23,834,0
140,693,166,9,1,4,0,0,7,880,0,7,887,0
141,739,140,4,0,2,0,2,7,894,0,9,903,0
142,743,147,5,1,5,1,2,5,909,0,9,918,0
143,823,81,7,0,5,0,0,6,922,0,11,933,0
144,300,110,1,1,1,0,2,5,420,0,11,431,0
145,233,438,2,0,2,0,1,11,687,0,3,690,0
146,524,221,12,3,6,2,4,5,777,0,20,797,0
147,775,76,2,1,1,0,0,6,861,0,14,875,0
148,780,193,6,0,6,0,3,12,1000,0,12,1012,0
149,714,145,1,0,0,1,1,8,870,0,17,887,0
150,278,105,5,0,0,0,0,11,399,0,12,411,0
151,663,69,6,0,0,0,1,9,748,0,20,768,0
152,679,105,1,0,0,0,1,13,799,0,5,804,0
153,427,66,4,0,1,1,1,11,511,0,5,516,0
154,804,207,9,3,1,0,1,17,1042,0,11,1053,0
155,795,173,9,1,3,2,3,12,998,0,11,1009,0
156,858,135,2,0,3,0,1,6,1005,0,10,1015,0
157,640,184,4,1,5,0,2,6,842,0,9,851,0
158,418,381,1,3,5,4,8,10,830,0,14,844,0
159,853,148,2,0,1,0,1,9,1014,0,7,1021,0
160,607,151,1,1,4,0,2,1,767,0,9,776,0
161,732,256,7,1,2,0,2,9,1009,0,25,1034,0
162,605,408,6,4,2,0,1,4,1030,0,5,1035,0
163,710,205,4,0,1,1,0,2,923,0,7,930,0
164,797,161,3,0,4,1,6,18,990,0,17,1007,0
165,590,146,5,0,2,0,1,16,760,0,13,773,0
166,594,192,2,2,1,1,3,6,801,0,9,810,0
167,477,65,1,1,1,0,0,13,558,0,7,565,0
168,696,100,3,0,4,0,2,2,807,0,10,817,0
169,859,145,7,2,2,1,1,7,1024,0,9,1033,0
170,603,116,0,2,9,0,0,4,734,0,3,737,0
171,831,113,6,0,1,1,7,2,961,0,7,968,0
172,602,145,8,1,1,0,2,0,759,0,8,767,0
173,345,192,9,2,0,2,7,8,565,0,12,577,0
174,454,113,15,4,3,1,2,14,606,0,6,612,0
175,395,182,7,3,0,0,7,7,601,0,4,605,0
176,497,180,5,2,0,4,2,7,697,0,19,716,0
177,831,110,1,0,0,0,1,9,952,0,7,959,0
178,759,160,3,1,0,2,0,10,935,0,8,943,0
179,412,86,3,0,0,0,0,9,510,0,5,515,0
179,520,88,4,0,1,1,1,11,626,0,7,633,0
180,319,100,3,1,0,1,1,14,439,0,8,447,0
181,229,133,10,0,2,1,2,5,382,0,17,399,0
182,508,301,4,2,2,1,0,9,827,0,12,839,0
183,797,148,7,1,2,0,1,1,957,0,9,966,0
184,733,241,4,1,2,0,2,6,989,0,12,1001,0
185,445,214,9,2,2,0,1,4,677,0,6,683,0
186,629,238,5,0,1,1,2,2,878,0,2,880,0
187,499,376,10,4,1,2,1,5,898,0,14,912,0
188,368,124,4,0,4,1,0,0,501,0,2,503,0
189,763,166,6,0,0,1,1,4,941,0,13,954,0
190,809,121,2,0,2,0,0,2,936,0,15,951,0
191,702,231,4,1,3,0,3,7,951,0,20,971,0
