polling station,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Al - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,valid,rejected,nota,total,tendered
24,188,455,3,0,7,2,0,0,1,2,2,1,4,21,686,0,27,713,0
25,255,333,2,9,0,0,1,1,0,0,0,1,1,10,613,0,12,625,0
26,183,521,6,17,2,0,1,1,0,2,2,2,2,12,751,0,13,764,0
27,318,490,7,47,1,0,1,4,2,1,5,8,4,6,894,0,22,916,0
28,13,233,2,0,0,0,0,0,1,0,0,0,1,0,250,0,2,252,0
29,278,389,5,1,0,0,0,1,1,0,1,1,1,7,685,0,21,706,0
30,78,294,1,1,0,0,2,0,2,0,1,2,3,3,387,0,9,396,0
31,105,413,3,0,0,0,0,1,1,0,0,1,1,3,528,0,6,534,0
32,81,348,1,1,0,0,0,1,0,1,0,0,0,1,434,0,1,435,0
33,526,298,5,0,4,0,0,0,0,3,0,1,0,5,842,0,21,863,0
34,293,498,0,1,4,0,0,0,1,1,0,0,1,5,804,0,16,820,0
35,254,332,3,0,1,0,1,1,0,1,0,1,2,5,601,0,13,614,0
36,430,164,3,0,1,0,0,0,0,0,0,1,3,0,602,0,8,610,0
37,233,249,5,1,0,0,0,0,0,2,0,0,0,5,495,0,13,508,0
38,234,325,6,3,1,0,0,0,0,0,0,1,3,3,576,0,10,586,0
39,183,217,3,0,0,0,0,1,1,1,0,0,0,4,410,0,13,423,0
40,309,183,0,4,2,0,0,0,0,2,1,2,2,5,510,0,16,526,0
41,219,443,6,4,2,0,0,0,0,3,2,2,3,0,684,0,14,698,0
42,208,360,4,3,2,0,0,0,0,0,0,2,0,1,580,0,3,583,0
43,266,179,2,9,1,0,0,0,1,0,0,1,4,3,466,0,14,480,0
44,449,346,4,1,1,0,3,1,0,0,0,2,0,6,813,0,19,832,0
45,127,424,5,2,2,0,0,2,1,0,2,1,4,5,575,0,2,577,0
46,253,123,10,1,1,1,0,0,0,0,2,1,1,2,395,0,5,400,0
47,339,220,9,6,2,0,0,1,1,3,2,0,4,5,592,0,7,599,0
48,212,518,3,1,0,0,0,1,1,0,0,0,0,9,745,0,19,764,0
49,379,365,5,1,5,1,1,0,0,1,1,1,0,5,765,0,25,790,0
50,112,462,2,13,2,0,0,0,0,2,0,1,2,4,600,0,9,609,0
51,230,181,1,60,1,2,0,1,0,0,0,0,2,9,487,0,12,499,0
52,264,649,6,1,3,0,4,0,1,1,1,0,2,3,935,0,22,957,0
53,235,630,2,0,10,0,0,0,0,0,0,3,0,5,885,0,6,891,0
54,290,580,3,0,0,0,0,1,2,1,0,2,6,13,898,0,28,926,0
55,469,232,2,0,1,0,3,0,0,0,0,0,0,2,709,0,12,721,0
56,376,257,1,0,0,0,9,0,0,2,2,0,3,3,653,0,24,677,0
57,449,235,0,0,3,0,1,0,0,0,0,1,1,1,691,0,7,698,0
58,656,72,3,0,0,0,0,0,0,1,1,2,1,0,736,0,13,749,0
59,443,103,0,0,0,1,0,0,0,0,0,0,1,3,551,0,17,568,0
60,98,706,2,2,2,1,2,0,0,0,0,1,0,4,818,0,9,827,0
61,93,611,3,0,2,1,0,0,0,0,0,0,0,2,712,0,6,718,0
62,112,640,3,0,0,1,0,1,1,1,0,0,1,0,760,0,4,764,0
63,126,784,1,0,4,0,0,0,0,0,0,1,1,1,918,0,6,924,0
64,86,763,1,0,2,0,0,0,0,0,0,1,0,0,853,0,11,864,0
65,373,517,2,0,3,0,0,0,0,0,1,0,1,1,898,0,6,904,0
66,217,705,4,1,1,1,0,0,0,0,0,0,0,1,930,0,3,933,0
67,328,398,3,0,1,0,0,2,1,0,0,1,1,3,738,0,9,747,0
68,555,346,1,1,2,1,3,0,0,2,2,0,2,2,917,0,17,934,0
69,292,502,4,3,2,0,0,1,1,4,2,2,1,4,818,0,11,829,0
70,293,675,9,2,1,1,0,1,1,1,0,3,4,5,996,0,16,1012,0
71,264,583,5,1,5,0,1,2,3,3,3,0,7,6,883,0,19,902,0
72,80,182,2,1,0,0,1,0,0,3,1,2,0,4,276,0,7,283,0
73,225,434,2,0,0,1,0,0,0,1,1,3,2,3,672,0,12,684,0
74,435,315,7,2,3,1,0,0,0,3,1,1,3,4,775,0,8,783,0
75,167,449,3,2,3,0,1,1,0,1,0,7,3,5,642,0,10,652,0
76,147,194,2,1,5,0,0,0,1,5,2,2,1,3,363,0,12,375,0
77,452,373,3,11,3,0,1,0,3,1,3,2,2,7,861,0,31,892,0
78,244,360,5,0,1,0,1,0,1,1,1,4,5,16,639,0,19,658,0
79,286,376,2,0,0,0,0,0,0,1,0,1,1,6,673,0,12,685,0
80,238,702,6,0,1,1,0,2,2,2,0,1,2,17,974,0,14,988,0
81,245,156,3,0,0,0,0,0,0,1,0,0,2,2,409,0,9,418,0
82,126,253,3,0,0,0,0,0,0,0,1,0,1,7,391,0,5,396,0
83,92,656,7,3,2,0,0,1,0,2,0,1,2,5,771,0,16,787,0
84,190,667,4,1,4,1,0,1,2,2,2,3,6,6,889,0,11,900,0
85,190,613,13,3,3,1,2,2,3,1,2,2,2,5,842,0,28,870,0
86,387,361,4,6,3,0,2,2,2,4,0,1,5,14,791,0,21,812,0
87,84,445,4,0,0,0,0,0,0,0,0,4,3,2,542,0,4,546,0
88,112,397,2,1,1,0,0,0,0,1,0,1,2,10,527,0,15,542,0
89,133,238,0,2,2,0,0,0,0,1,0,1,1,3,381,0,4,385,0
90,228,414,4,0,0,0,0,0,0,0,0,0,2,12,660,0,9,669,0
91,269,324,5,1,0,0,0,0,0,0,0,0,2,5,606,0,13,619,0
92,169,259,3,0,1,0,0,0,0,1,1,0,1,3,438,0,9,447,0
93,264,247,5,0,0,0,0,0,0,0,1,0,2,5,524,0,17,541,0
94,403,203,1,1,1,2,0,1,2,0,0,1,0,3,618,0,20,638,0
95,303,196,3,2,0,1,0,0,0,0,0,1,4,2,512,0,17,529,0
96,360,264,3,1,1,0,0,2,0,1,0,1,1,7,641,0,14,655,0
97,152,199,0,2,0,1,0,0,0,1,0,0,0,4,359,0,5,364,0
98,303,251,3,2,1,0,1,0,1,0,0,0,0,7,569,0,15,584,0
99,59,308,1,1,0,0,0,0,0,0,0,0,0,5,374,0,3,377,0
100,312,414,1,1,9,0,0,0,0,0,2,2,0,2,743,0,23,766,0
101,524,248,3,0,0,0,0,1,2,3,2,2,5,12,802,0,42,844,0
102,170,394,4,3,0,0,1,0,0,0,0,0,3,14,589,0,18,607,0
103,158,202,0,1,0,0,1,0,0,1,1,0,3,3,370,0,12,382,0
104,214,239,1,27,0,0,0,0,1,0,1,1,1,6,491,0,5,496,0
105,364,220,2,0,3,1,0,0,0,1,0,3,5,10,609,0,17,626,0
106,545,153,2,4,1,1,0,0,0,0,1,0,0,1,708,0,4,712,0
107,325,94,0,3,1,0,0,0,0,1,0,0,1,2,427,0,14,441,0
108,354,394,5,0,0,0,0,0,0,1,0,3,1,6,764,0,24,788,0
109,547,140,1,0,0,2,0,0,1,0,0,1,5,2,699,0,14,713,0
110,306,159,2,1,0,0,0,0,0,2,0,0,1,5,476,0,14,490,0
111,510,302,0,0,0,0,0,1,0,0,0,1,1,4,819,0,6,825,0
112,565,93,1,0,8,0,0,0,0,0,3,0,0,1,671,0,7,678,0
113,585,137,1,0,1,0,0,1,0,1,0,0,1,1,728,0,7,735,0
114,402,354,10,0,2,1,1,0,2,1,2,3,1,12,791,0,19,810,0
115,511,221,0,1,4,0,1,0,0,0,0,0,1,4,743,0,7,750,0
116,595,240,2,1,0,1,1,0,3,4,1,5,4,7,864,0,15,879,0
117,592,204,2,0,4,0,0,1,1,2,0,0,1,5,812,0,19,831,0
118,284,221,6,0,1,0,0,0,0,1,3,0,2,6,524,0,13,537,0
119,355,232,4,0,2,2,0,1,0,2,2,2,7,18,627,0,22,649,0
120,473,73,2,0,3,1,0,0,0,0,0,0,1,1,554,0,5,559,0
121,367,17,1,0,3,2,1,1,0,2,0,0,0,0,394,0,3,397,0
122,320,211,3,31,4,2,2,0,2,1,3,3,1,13,596,0,15,611,0
123,401,245,1,23,4,0,1,1,1,1,3,3,4,9,697,0,18,715,0
124,294,347,5,6,2,2,1,0,1,1,3,3,2,5,672,0,14,686,0
125,366,470,3,12,2,0,1,1,3,2,0,5,1,10,876,0,17,893,0
126,212,386,4,1,1,0,0,0,0,0,1,0,0,7,612,0,10,622,0
127,136,244,1,1,3,0,1,1,0,0,0,1,3,3,394,0,6,400,0
128,158,435,11,2,1,0,1,0,1,2,0,3,3,23,640,0,18,658,0
129,669,63,0,0,1,0,0,1,0,2,0,1,2,3,742,0,14,756,0
130,75,272,2,1,0,0,0,0,0,0,0,2,1,1,354,0,4,358,0
131,271,205,3,1,0,0,0,0,0,2,3,2,6,8,501,0,11,512,0
132,251,391,8,9,3,0,0,1,0,0,0,5,5,6,679,0,18,697,0
133,62,508,1,0,3,0,0,0,0,1,0,1,1,11,588,0,7,595,0
134,20,357,1,0,1,0,0,0,1,0,1,0,1,2,384,0,0,384,0
135,191,192,0,3,4,0,0,0,0,0,0,0,0,1,391,0,6,397,0
136,299,132,3,0,0,0,1,1,0,1,1,1,1,2,442,0,15,457,0
137,175,328,2,3,0,0,0,0,0,0,0,0,12,0,520,0,7,527,0
138,145,216,1,0,0,1,1,0,0,2,0,0,0,14,380,0,20,400,0
139,124,319,4,0,0,0,0,0,0,1,2,2,2,2,456,0,8,464,0
140,129,359,2,0,1,0,1,1,1,2,2,6,12,9,525,0,14,539,0
141,88,377,3,1,0,0,0,1,1,1,1,3,3,7,486,0,12,498,0
142,302,42,0,0,5,0,0,0,0,0,0,0,0,0,349,0,2,351,0
143,302,401,4,1,3,0,0,2,1,0,0,0,4,3,721,0,4,725,0
144,151,526,2,2,0,0,0,0,2,1,0,0,2,3,689,0,11,700,0
145,67,315,5,1,1,0,0,1,0,0,1,0,1,3,395,0,5,400,0
146,201,331,4,0,0,0,0,0,1,0,0,1,1,8,547,0,9,556,0
147,94,372,2,2,1,1,0,1,0,3,0,0,2,10,488,0,11,499,0
148,321,384,7,1,1,1,1,1,1,2,2,3,7,18,750,0,17,767,0
149,237,283,7,1,0,2,0,0,0,2,0,2,5,4,543,0,15,558,0
150,245,133,1,1,1,0,0,0,1,2,0,3,2,6,395,0,7,402,0
151,221,278,7,6,2,0,2,2,0,0,2,2,1,5,528,0,17,545,0
152,300,266,4,1,1,0,0,2,0,0,0,1,2,4,581,0,14,595,0
153,236,435,6,1,1,1,1,1,2,1,1,1,1,6,694,0,21,715,0
154,245,515,5,1,0,0,0,0,0,0,1,1,1,6,775,0,11,786,0
155,133,537,5,0,0,1,0,1,0,2,0,1,1,3,684,0,22,706,0
156,102,265,6,0,0,0,0,0,0,0,1,0,1,6,381,0,1,382,0
157,103,248,3,1,2,0,0,2,0,1,0,0,1,5,366,0,5,371,0
158,232,316,5,0,2,0,0,2,0,0,2,1,1,4,565,0,10,575,0
159,360,459,6,1,2,0,2,0,3,1,0,3,2,11,850,0,20,870,0
160,144,274,5,0,3,0,1,1,0,0,0,0,0,1,429,0,6,435,0
161,359,288,1,0,3,0,1,0,0,0,0,1,3,2,658,0,8,666,0
162,200,238,1,1,0,0,0,1,0,1,0,2,0,3,447,0,4,451,0
163,129,304,3,2,1,1,0,1,0,0,1,0,0,1,443,0,4,447,0
164,114,247,3,1,0,0,0,0,0,0,0,0,0,1,366,0,4,370,0
165,257,163,2,104,8,2,1,0,1,0,1,6,1,4,550,0,3,553,0
166,169,196,2,16,6,1,0,0,1,3,0,1,2,1,398,0,3,401,0
167,219,265,4,0,1,0,0,0,0,1,0,1,1,5,497,0,6,503,0
168,232,132,4,1,0,0,0,0,0,0,0,0,0,1,370,0,2,372,0
169,281,266,3,4,1,0,0,0,0,0,0,3,1,0,559,0,6,565,0
170,260,343,3,2,5,2,0,0,0,1,2,0,2,3,623,0,20,643,0
171,236,240,3,2,1,0,0,2,1,2,0,1,1,2,491,0,8,499,0
172,141,294,6,30,1,0,0,1,0,0,2,1,3,8,487,0,14,501,0
173,224,384,4,0,2,0,1,0,1,0,0,0,1,3,620,0,4,624,0
174,195,250,2,2,1,2,0,0,0,1,0,2,4,26,485,0,28,513,0
175,270,174,2,2,0,0,0,0,0,0,2,1,2,4,457,0,10,467,0
176,374,459,2,0,1,0,0,0,0,0,0,0,0,2,838,0,5,843,0
177,200,432,5,1,1,0,2,0,0,0,0,1,3,4,649,0,16,665,0
178,229,403,3,3,0,0,0,0,0,1,4,3,3,14,663,0,36,699,0
179,286,302,1,0,0,0,0,0,0,0,0,0,0,2,591,0,1,592,0
180,195,372,1,2,1,0,0,0,0,0,0,0,0,1,572,0,1,573,0
181,192,262,6,2,2,0,0,0,0,0,0,0,1,2,467,0,14,481,0
182,189,361,2,2,1,0,1,0,0,1,0,0,0,1,558,0,7,565,0
183,255,228,1,7,1,0,0,3,0,1,0,0,1,3,500,0,4,504,0
184,456,195,4,23,0,2,1,0,1,3,5,0,2,9,701,0,35,736,0
185,319,317,5,1,1,0,0,0,0,4,0,0,0,3,650,0,8,658,0
186,273,208,7,6,1,4,1,4,1,1,1,2,4,1,514,0,16,530,0
187,322,359,3,25,6,0,1,0,1,2,1,1,3,1,725,0,15,740,0
188,268,597,2,1,2,0,0,0,2,1,1,1,6,9,890,0,11,901,0
189,330,280,5,3,1,0,0,2,4,1,1,2,2,6,637,0,20,657,0
190,163,349,2,3,1,0,0,0,1,1,1,3,0,8,532,0,6,538,0
191,175,286,8,2,0,0,0,1,1,0,3,1,3,4,484,0,18,502,0
192,150,218,4,1,2,0,0,0,1,0,0,1,1,5,383,0,7,390,0
193,328,351,8,2,2,2,1,2,3,6,2,6,6,11,730,0,31,761,0
194,170,223,4,0,0,0,0,0,1,0,2,0,2,5,407,0,10,417,0
195,297,221,4,0,1,1,0,0,3,3,4,1,6,9,550,0,30,580,0
196,230,288,1,2,8,1,1,1,0,0,0,0,1,2,535,0,4,539,0
197,394,210,3,1,3,1,0,2,3,1,2,2,3,12,637,0,16,653,0
198,129,347,0,14,0,1,0,0,0,0,0,0,1,2,494,0,1,495,0
199,166,474,3,17,0,1,0,0,0,1,0,0,7,11,680,0,13,693,0
200,164,289,2,0,0,0,0,1,1,2,0,0,0,4,463,0,13,476,0
201,101,201,2,2,0,0,1,1,1,0,1,0,3,4,317,0,6,323,0
202,179,389,7,148,6,2,1,3,8,2,2,6,5,5,763,0,13,776,0
203,308,252,4,1,1,0,0,0,0,0,2,0,4,2,574,0,13,587,0
204,265,171,2,0,0,1,0,1,0,0,2,3,1,4,450,0,11,461,0
205,173,254,7,4,0,2,1,1,0,2,4,1,2,6,457,0,29,486,0
206,143,225,4,2,1,0,1,0,0,1,0,0,1,5,383,0,7,390,0
207,183,231,2,2,0,0,1,0,0,0,0,3,2,8,432,0,10,442,0
208,100,494,0,0,0,1,0,0,0,0,0,1,0,2,598,0,6,604,0
209,479,183,0,40,3,0,1,0,5,3,1,2,1,12,730,0,17,747,0
210,366,245,0,0,2,0,0,0,1,1,0,0,1,3,619,0,17,636,0
211,88,117,1,1,0,0,1,0,1,1,0,0,0,1,211,0,3,214,0
212,486,223,8,3,0,0,1,1,1,2,0,0,1,9,735,0,10,745,0
213,251,310,6,1,0,0,1,0,1,1,0,0,1,5,577,0,4,581,0
214,307,88,4,16,5,0,0,1,0,1,1,0,3,0,426,0,10,436,0
215,270,498,5,7,2,0,0,1,0,3,4,2,7,8,807,0,16,823,0
216,343,213,3,3,1,2,0,0,0,1,2,1,1,5,575,0,18,593,0
217,164,92,1,0,0,1,0,0,1,0,0,1,1,3,264,0,1,265,0
218,140,441,1,0,1,0,0,0,0,1,0,3,4,7,598,0,9,607,0
219,345,350,6,0,1,0,3,1,2,0,1,0,1,5,715,0,30,745,0
220,163,431,2,1,0,0,0,0,0,0,0,1,1,7,606,0,11,617,0
221,414,206,2,0,1,1,2,1,1,1,0,2,1,3,635,0,9,644,0
222,396,205,4,2,0,0,0,0,2,1,1,1,2,10,624,0,17,641,0
223,427,258,3,1,0,0,0,1,0,0,2,1,0,10,703,0,23,726,0
224,200,397,7,0,4,1,0,1,3,0,0,2,3,4,622,0,16,638,0
225,118,387,1,0,2,0,0,0,0,0,0,0,0,1,509,0,2,511,0
226,182,385,6,1,2,0,0,1,1,0,0,1,0,14,593,0,5,598,0
