polling station,,,,,,,,,,,,,,,,,,,
,PARMAR MAGANBHAI AMRABHAI,RATHOD BHAVSINH DAHYABHAI,LILADHARBHAI KHODAJI VAGHELA,GOVINDJI OKHAJI THAKOR,JAKASIJI JOGAJI THAKOR,PARMAR BHAICHANDBHAI SOMABHAI,BABUBHAI KARSHANBHAI RABARI,IMRANKHAN MAHMADKHAN NAGORI,CHHAGANBHAI NARANBHAI PRAJAPATI,JAGRALA IMRAN MAHEMUD,DESAI ISHWARBHAI MAHADEVBHAI,BHORANIYA SOYABBHAI HASAMBHAI,MOLAPIYA ABDULKUDUS ABDULMAJID,VAGHDA JIVABHAI DEVABHAI,NOTA,Valid,Rejected,Total,tendered
35,4,407,41,1,0,0,0,0,1,0,0,1,0,6,4,465,0,465,
36,2,399,39,1,0,0,0,1,0,0,1,0,1,0,3,447,0,447,
37,2,151,263,3,0,0,6,0,3,1,0,0,0,2,2,433,0,433,
38,3,212,316,4,1,1,6,1,0,3,0,1,6,8,14,576,0,576,
39,5,218,242,2,12,0,16,0,5,4,2,0,1,1,3,511,0,511,
40,10,277,46,3,1,0,0,1,1,2,0,2,2,2,4,351,0,351,
41,16,414,369,7,0,1,4,0,0,1,4,4,4,16,4,844,0,844,
42,5,68,377,11,1,0,0,2,4,3,1,0,2,5,9,488,0,488,
43,,361,224,3,2,0,0,0,1,0,0,0,1,7,5,611,0,611,
44,4,144,281,2,0,0,0,1,3,2,1,1,2,4,1,446,0,446,
45,5,162,354,3,0,0,1,2,0,3,1,0,4,7,3,545,0,545,
46,4,174,254,0,2,1,22,1,1,1,0,4,2,4,1,471,0,471,
47,0,78,376,2,0,0,9,0,0,0,1,1,2,2,1,472,0,472,
48,8,165,307,2,13,0,0,1,0,3,1,1,3,0,2,506,0,506,
49,4,173,158,6,2,0,0,1,1,3,3,0,5,7,6,369,0,369,
50,7,216,395,5,1,0,5,1,2,1,0,2,3,3,2,643,0,643,
51,1,131,123,4,1,0,0,0,0,0,0,0,1,2,1,264,0,264,
52,4,485,6,1,2,0,0,0,0,0,0,0,0,1,1,500,0,500,
53,3,364,11,0,3,0,0,2,1,0,2,0,0,5,1,392,0,392,
54,5,306,16,0,2,0,0,0,0,1,0,0,0,2,3,335,0,335,
55,6,556,114,3,2,1,0,2,2,2,2,2,3,7,7,709,0,709,
56,1,90,213,2,2,1,3,0,1,0,0,0,1,0,1,315,0,315,
57,,158,315,2,0,0,2,0,2,1,1,1,2,1,3,489,0,489,
58,1,404,192,4,1,0,0,1,3,2,1,1,1,2,2,615,0,615,
59,1,87,142,2,1,0,1,0,0,1,0,1,0,4,0,240,0,240,
60,9,354,351,4,1,1,0,0,0,0,0,1,11,10,9,751,0,751,
61,5,325,232,3,0,0,2,3,2,0,2,2,6,5,6,593,0,593,
62,0,241,31,2,0,0,0,1,0,0,1,1,1,1,1,280,0,280,
63,5,243,445,2,4,2,0,0,4,2,0,1,2,2,3,715,0,715,
64,6,152,253,2,2,0,22,1,0,0,1,2,0,2,9,452,0,452,
65,3,31,171,6,0,0,3,0,0,0,0,0,1,1,0,216,0,216,
66,3,223,399,0,21,1,1,2,3,1,0,1,3,5,6,669,0,669,
67,6,363,86,0,0,1,11,3,1,5,1,2,2,4,11,496,0,496,
68,14,169,280,6,0,1,0,0,2,0,1,3,10,3,7,496,0,496,
69,3,120,70,0,0,0,0,1,1,1,0,1,1,1,5,204,0,204,
70,5,250,249,4,2,1,1,0,3,1,1,2,1,3,7,530,0,530,
71,,215,214,7,1,0,0,2,1,4,3,3,2,6,6,473,0,473,
72,2,197,456,6,0,0,1,2,5,0,1,4,6,10,4,694,0,694,
73,11,131,488,9,12,2,3,0,6,2,0,10,9,4,7,694,0,694,
74,20,152,473,8,9,0,1,0,3,0,0,1,3,0,14,684,0,684,
75,2,166,315,3,0,0,0,0,1,0,1,3,3,6,3,503,0,503,
76,20,326,198,7,1,0,0,0,0,3,0,0,2,2,9,568,0,568,
77,2,33,631,3,2,1,0,2,1,5,7,2,6,0,5,700,0,700,
78,3,262,426,6,1,0,0,0,0,8,0,0,3,0,8,717,0,717,
79,0,439,9,0,0,0,1,0,0,2,1,2,10,0,0,464,0,464,
80,0,277,8,0,0,0,0,0,0,0,0,0,1,2,0,288,0,288,
81,3,499,81,0,0,0,0,0,0,0,0,1,3,4,1,592,0,592,
82,32,185,13,0,2,1,0,0,2,0,2,0,2,1,2,242,0,242,
83,3,35,385,0,0,0,0,1,0,0,0,0,2,3,1,430,0,430,
84,3,312,315,3,0,1,2,3,0,1,0,5,4,4,7,660,0,660,
85,,305,169,2,0,0,0,2,1,0,0,1,5,2,4,498,0,498,
86,18,467,88,2,4,0,0,2,0,0,3,4,8,5,6,607,0,607,
87,4,510,108,2,0,0,0,1,0,2,0,0,9,7,11,654,0,654,
88,1,326,410,6,0,1,0,0,1,1,3,1,7,2,3,762,0,762,
89,3,646,11,0,0,0,0,1,0,0,0,1,2,0,4,668,0,668,
90,10,416,71,4,0,1,0,0,0,4,3,1,3,5,13,531,0,531,
91,9,462,202,2,0,0,1,1,1,0,0,5,1,2,5,691,0,691,
92,3,595,34,0,0,0,0,6,0,1,0,1,2,0,5,647,0,647,
93,5,131,248,6,1,0,2,2,4,2,0,2,6,8,8,425,0,425,
94,1,99,128,2,1,0,7,0,1,0,1,0,1,7,3,251,0,251,
95,2,191,261,8,0,0,0,2,2,0,1,1,6,4,7,485,0,485,
96,4,106,292,11,196,4,2,4,2,1,2,1,5,8,5,643,0,643,
97,1,23,441,2,0,0,0,1,0,0,0,0,0,0,4,472,0,472,
98,5,330,60,3,0,0,2,0,0,0,1,2,0,5,2,410,0,410,
99,,156,397,1,3,0,0,0,0,3,3,1,4,8,10,590,0,590,
100,2,16,369,1,1,0,0,0,0,0,0,0,4,0,1,394,0,394,
101,3,199,156,0,1,0,0,1,0,1,0,2,2,0,4,369,0,369,
102,13,175,463,4,1,0,2,1,1,1,0,0,1,2,9,673,0,673,
103,0,203,129,1,1,0,0,0,0,2,1,0,2,0,1,340,0,340,
104,1,171,144,2,1,0,1,1,1,0,0,0,1,2,0,325,0,325,
105,5,388,287,7,1,0,0,3,1,2,2,2,6,6,5,715,0,715,
106,0,572,21,0,0,0,0,2,1,0,0,1,0,2,3,602,0,602,
107,7,142,487,8,2,0,2,3,8,4,1,1,4,10,19,698,0,698,
108,2,61,606,11,1,1,0,3,5,0,2,1,9,4,5,711,0,711,
109,2,266,32,0,1,0,0,0,0,0,0,0,1,0,0,302,0,302,
110,2,264,79,0,0,0,0,0,0,0,0,0,1,1,0,347,0,347,
111,2,393,238,0,1,0,1,2,0,0,1,3,1,6,3,651,0,651,
112,2,423,114,3,0,1,0,0,0,0,0,1,2,1,1,548,0,548,
113,,144,72,2,1,1,2,1,0,0,0,84,0,1,2,310,0,310,
114,9,442,154,2,2,0,1,1,0,0,0,3,1,3,7,625,0,625,
115,13,261,435,1,1,0,1,0,3,0,0,2,10,7,7,741,0,741,
116,10,261,257,3,2,0,0,2,0,0,1,0,2,1,7,546,0,546,
117,3,420,155,1,2,2,1,4,0,0,1,1,2,0,3,595,0,595,
118,5,227,290,4,6,1,0,0,2,0,1,2,0,2,4,544,0,544,
119,2,194,143,0,10,0,2,0,0,1,0,1,2,3,2,360,0,360,
120,1,394,103,1,21,0,0,0,1,0,0,0,5,2,4,532,0,532,
121,6,218,143,3,1,0,3,1,0,0,1,2,0,4,5,387,0,387,
122,6,219,112,3,2,1,6,1,0,0,0,0,0,3,13,366,0,366,
123,3,220,313,5,1,0,0,2,0,0,0,3,10,4,9,570,0,570,
124,3,81,282,1,0,0,3,0,0,0,0,0,2,1,7,380,0,380,
125,5,364,113,0,1,0,0,1,0,0,1,1,0,1,6,493,0,493,
126,5,212,201,1,1,1,2,0,1,1,0,1,6,7,4,443,0,443,
127,,394,63,0,0,0,0,1,0,2,0,1,4,3,2,473,0,473,
128,4,198,58,0,0,0,4,1,0,0,1,1,3,5,4,279,0,279,
129,3,405,15,0,1,0,1,3,0,0,0,1,3,1,2,435,0,435,
130,5,178,286,6,2,1,1,1,0,0,0,1,13,5,8,507,0,507,
131,3,122,438,5,0,0,0,0,0,2,0,0,4,2,5,581,0,581,
132,4,106,525,3,1,0,0,0,0,0,1,0,2,1,5,648,0,648,
133,3,128,327,2,2,0,0,1,0,1,1,2,3,3,4,477,0,477,
134,1,112,514,0,1,2,2,0,1,2,0,1,0,0,1,637,0,637,
135,3,144,188,3,1,0,1,0,0,0,0,0,2,1,7,350,0,350,
136,6,63,486,2,6,1,1,0,2,1,1,3,9,5,8,594,0,594,
137,7,228,458,7,3,0,2,1,6,3,2,1,12,10,12,752,0,752,
138,8,180,441,9,1,0,13,2,1,3,1,2,8,2,13,684,0,684,
139,0,175,136,3,0,0,0,0,0,0,1,0,2,1,1,319,0,319,
140,1,376,280,9,3,1,0,0,1,1,0,0,1,2,7,682,0,682,
141,,349,135,2,0,0,1,2,0,2,2,0,2,6,1,504,0,504,
142,3,100,357,2,0,1,0,0,0,1,0,0,3,0,5,472,0,472,
143,1,64,371,0,0,0,0,0,0,0,2,0,0,2,8,448,0,448,
144,4,252,363,5,0,0,1,2,2,2,2,1,2,2,2,640,0,640,
145,3,125,367,4,1,2,0,3,0,2,0,0,3,0,6,516,0,516,
146,1,120,431,0,0,0,0,0,0,0,0,0,1,1,3,557,0,557,
147,4,149,260,3,0,0,0,1,0,1,0,0,5,2,2,427,0,427,
148,2,69,344,1,0,2,0,1,2,1,1,0,0,1,2,426,0,426,
149,10,369,213,6,1,0,1,2,1,0,2,0,4,11,12,632,0,632,
150,1,532,62,0,0,1,1,0,1,0,0,0,2,3,2,605,0,605,
151,1,526,40,1,0,0,0,3,0,0,0,2,2,5,7,587,0,587,
152,6,196,254,1,0,0,0,0,1,1,0,1,5,7,7,479,0,479,
153,5,506,24,4,1,1,0,0,0,1,1,0,1,8,3,555,0,555,
154,2,183,287,3,0,0,0,0,1,1,0,2,2,3,4,488,0,488,
155,,350,117,2,0,1,0,0,0,1,0,0,0,5,5,484,0,484,
156,2,90,319,1,0,1,1,0,3,0,0,0,0,2,4,423,0,423,
157,14,376,278,1,1,0,1,3,2,2,1,3,4,12,11,709,0,709,
158,10,305,480,3,4,2,2,1,1,3,0,1,1,4,8,825,0,825,
159,7,132,335,4,0,1,0,0,0,0,0,0,1,0,4,484,0,484,
160,3,116,594,5,0,0,0,0,1,1,1,0,2,3,4,730,0,730,
161,3,107,508,5,0,0,0,2,1,0,0,0,3,7,17,653,0,653,
162,3,131,577,4,1,0,0,3,1,0,0,0,2,2,7,731,0,731,
163,1,63,549,4,0,1,1,2,0,0,0,0,2,3,9,635,0,635,
164,2,77,667,2,1,0,0,0,0,1,0,1,0,4,8,763,0,763,
165,3,83,425,1,1,2,0,1,1,0,1,2,5,2,10,537,0,537,
166,1,73,711,5,0,0,0,0,0,1,2,3,1,3,11,811,0,811,
167,0,236,106,0,0,0,0,1,0,0,0,0,1,1,1,346,0,346,
168,0,201,430,1,0,0,0,2,0,0,1,1,5,0,7,648,0,648,
169,,672,77,0,0,0,1,5,1,0,0,0,2,3,11,776,0,776,
170,3,449,293,0,0,1,1,1,2,1,0,3,0,2,6,762,0,762,
171,5,747,84,1,1,0,0,2,0,1,0,3,2,4,6,856,0,856,
172,1,221,34,1,0,0,0,0,0,0,0,0,0,0,3,260,0,260,
173,2,51,715,4,0,0,2,0,1,0,1,2,8,3,6,795,0,795,
174,12,291,280,4,10,1,0,3,1,0,0,2,4,2,16,626,0,626,
175,1,213,618,3,2,0,1,0,0,1,0,2,2,1,12,856,0,856,
176,0,74,756,0,1,0,0,0,1,0,0,0,0,2,7,841,0,841,
177,5,215,462,5,0,2,0,1,3,1,0,1,3,8,13,719,0,719,
178,2,76,782,7,1,1,1,0,0,0,0,2,0,0,8,880,0,880,
179,0,119,720,2,0,1,1,2,0,1,1,0,3,2,3,855,0,855,
180,5,115,587,5,3,0,1,0,1,1,0,1,8,2,9,738,0,738,
181,10,127,417,1,2,1,0,1,3,2,1,1,9,9,12,596,0,596,
182,5,299,276,1,14,0,0,1,1,1,0,1,3,2,14,618,0,618,
183,,476,125,1,26,0,0,1,0,0,0,1,2,5,9,668,0,668,
184,5,606,57,1,11,0,0,1,0,0,0,2,3,4,4,694,0,694,
185,23,402,119,1,29,0,0,1,1,0,4,0,3,2,11,596,0,596,
186,5,343,272,1,17,0,0,1,2,0,3,1,3,5,12,665,0,665,
187,2,24,426,1,1,0,0,0,0,0,0,0,0,0,4,458,0,458,
188,0,36,304,2,0,0,0,0,0,0,0,0,0,1,4,347,0,347,
189,3,53,551,2,0,2,0,1,0,0,0,0,5,0,8,625,0,625,
190,1,44,424,2,0,1,0,0,0,0,0,0,1,1,9,483,0,483,
191,2,148,514,6,4,1,0,0,0,0,0,5,9,8,11,708,0,708,
192,2,186,555,7,0,0,4,1,4,0,1,1,3,19,8,791,0,791,
193,2,108,800,3,1,0,0,1,0,0,1,1,1,1,5,924,0,924,
194,1,35,659,3,1,0,0,0,0,1,0,2,3,1,4,710,0,710,
195,2,86,596,3,0,0,0,0,0,1,0,1,2,3,11,705,0,705,
196,5,109,515,4,0,0,1,0,1,1,0,0,0,2,2,640,0,640,
197,,210,629,9,2,1,4,3,3,3,3,8,31,7,20,936,0,936,
198,5,301,402,11,3,0,4,0,0,1,1,6,8,2,2,746,0,746,
199,2,228,182,1,1,0,0,0,0,1,1,0,9,0,14,439,0,439,
200,3,110,268,4,0,0,1,2,3,0,4,2,7,4,3,411,0,411,
201,5,240,477,3,2,0,2,0,1,0,1,2,4,4,0,741,0,741,
202,2,111,270,3,1,0,1,0,0,3,0,1,1,1,3,397,0,397,
203,3,309,150,4,2,0,0,3,0,1,0,3,0,2,7,484,0,484,
204,4,152,245,1,2,1,0,0,3,3,1,4,0,4,10,430,0,430,
205,7,161,386,5,2,1,1,2,0,0,1,5,5,3,6,585,0,585,
206,9,273,308,4,5,3,0,1,1,2,0,0,3,4,4,617,0,617,
207,4,452,103,0,0,0,2,0,1,2,1,1,2,6,2,576,0,576,
208,9,465,114,1,3,1,0,1,2,2,2,0,2,5,1,608,0,608,
209,20,263,353,4,2,1,0,0,1,0,1,1,4,4,4,658,0,658,
210,3,141,463,2,0,0,0,1,1,0,0,1,4,3,5,624,0,624,
211,,48,611,0,0,0,0,0,0,0,2,0,0,0,1,665,0,665,
212,8,94,583,5,0,0,1,0,2,1,0,1,9,3,9,716,0,716,
213,5,96,404,15,0,0,0,1,1,0,1,1,3,3,3,533,0,533,
214,1,102,468,5,2,2,1,0,5,1,1,3,7,4,6,608,0,608,
215,2,9,507,5,0,0,0,0,1,0,0,0,1,1,2,528,0,528,
216,4,296,323,2,1,0,2,1,0,1,1,4,6,2,3,646,0,646,
217,2,274,531,8,1,0,0,0,1,7,0,0,2,4,1,831,0,831,
218,7,290,263,4,1,0,2,0,2,1,2,2,4,3,8,589,0,589,
219,0,4,427,1,0,0,0,0,0,0,0,0,1,0,1,434,0,434,
220,1,613,193,3,0,0,0,0,2,2,1,2,1,4,8,830,0,830,
221,3,292,339,5,0,1,2,0,0,0,0,4,4,0,6,656,0,656,
222,6,334,121,2,1,0,0,0,0,2,0,1,0,2,4,473,0,473,
223,2,248,289,2,0,0,0,3,0,1,1,1,3,6,5,561,0,561,
224,1,184,143,0,0,1,0,1,0,0,1,0,1,0,0,332,0,332,
225,,118,180,1,1,0,0,1,2,0,1,0,1,0,3,310,0,310,
226,4,204,204,2,0,1,1,0,1,1,0,0,4,1,1,424,0,424,
227,2,57,515,2,0,0,0,2,1,0,1,0,2,2,5,589,0,589,
228,1,216,346,0,2,0,0,1,1,4,0,2,0,2,4,579,0,579,
229,0,99,156,1,0,1,1,0,1,0,0,0,1,3,4,267,0,267,
230,4,208,165,2,0,0,0,1,0,1,2,0,0,2,3,388,0,388,
