Polling Station,,,,,,,,,valid,rejected,NOTA,Total,No of Tendered Votes
83,399,321,5,4,0,1,1,12,743,0,11,754,0
84,100,307,3,3,0,0,1,2,416,0,5,421,0
85,218,316,11,3,1,0,2,2,553,0,10,563,0
86,167,326,3,1,1,0,5,4,507,0,7,514,0
87,68,602,8,1,0,1,2,11,693,0,10,703,0
88,194,637,4,1,1,0,0,3,840,0,7,847,0
89,407,341,3,1,0,2,1,2,757,0,7,764,0
90,378,290,8,0,1,0,1,8,686,0,4,690,0
91,342,312,5,1,1,0,1,4,666,0,9,675,0
92,318,343,6,1,0,3,0,0,671,0,7,678,0
93,53,654,3,1,1,0,1,10,723,0,7,730,0
94,85,237,8,0,0,0,1,3,334,0,2,336,0
95,516,209,21,1,7,0,2,2,758,0,12,770,0
96,321,251,8,3,14,0,1,1,599,0,12,611,0
97,523,219,11,1,4,2,1,5,766,0,13,779,0
98,262,310,12,2,21,1,5,5,618,0,7,625,0
99,214,296,9,1,12,2,1,5,540,0,10,550,0
100,504,292,8,0,0,0,3,1,808,0,17,825,0
101,226,154,3,0,1,0,0,3,387,0,1,388,0
102,270,255,4,1,0,0,1,4,535,0,6,541,0
103,368,300,6,0,1,1,1,1,678,0,8,686,0
104,249,313,2,1,2,0,1,3,571,0,6,577,0
105,208,113,6,1,1,1,1,5,336,0,6,342,0
106,263,166,5,1,21,0,1,6,463,0,8,471,0
107,134,228,0,3,37,0,2,0,404,0,7,411,0
108,82,168,2,1,23,0,0,1,277,0,2,279,0
109,156,227,6,1,0,1,1,3,395,0,8,403,0
110,212,337,4,3,34,2,2,12,606,0,14,620,0
111,128,177,8,0,1,1,2,8,325,0,4,329,0
112,339,295,2,0,1,0,1,0,638,0,9,647,0
113,260,103,0,0,1,1,1,1,367,0,4,371,0
114,213,156,4,3,128,1,0,7,512,0,4,516,0
115,297,162,5,1,0,1,0,3,469,0,6,475,0
116,382,148,2,2,0,0,0,1,535,0,6,541,0
117,359,110,1,0,0,0,0,0,470,0,1,471,0
118,371,182,2,1,1,1,0,3,561,0,3,564,0
119,178,208,6,0,2,1,2,8,405,0,7,412,0
120,289,59,3,0,0,0,1,1,353,0,6,359,0
121,175,163,7,3,9,0,2,4,363,0,7,370,0
122,180,182,3,1,18,0,0,1,385,0,2,387,0
123,227,168,8,0,2,2,2,1,410,0,9,419,0
124,228,168,1,4,1,0,0,0,402,0,6,408,0
125,220,222,1,0,2,0,0,1,446,0,6,452,0
126,311,176,13,0,2,0,0,2,504,0,6,510,0
127,295,195,4,0,2,0,2,8,506,0,9,515,0
128,456,239,6,0,4,2,1,5,713,0,10,723,0
129,270,275,18,3,8,1,1,9,585,0,9,594,0
130,397,231,6,1,1,1,0,5,642,0,9,651,0
131,521,271,8,0,1,1,1,2,805,0,11,816,0
132,251,262,4,0,0,1,2,4,524,0,4,528,0
133,602,166,3,0,0,0,1,6,778,0,19,797,0
134,232,500,24,9,2,1,3,3,774,0,20,794,0
135,275,102,1,5,0,2,5,12,402,0,33,435,0
136,773,110,9,3,6,1,2,8,912,0,37,949,0
137,467,244,6,1,1,0,0,3,722,0,10,732,0
138,382,308,4,1,1,0,4,7,707,0,10,717,0
139,229,158,5,0,1,1,2,4,400,0,6,406,0
140,185,421,12,3,1,1,1,4,628,0,10,638,0
141,486,105,11,1,1,0,1,1,606,0,6,612,0
142,504,257,18,0,1,1,0,5,786,0,13,799,0
143,213,298,3,2,6,2,3,16,543,0,11,554,0
144,408,232,4,0,0,1,0,8,653,0,14,667,0
145,420,130,4,0,1,1,1,2,559,0,6,565,0
146,352,300,7,2,19,1,1,4,686,0,13,699,0
147,257,433,14,4,3,2,4,7,724,0,8,732,0
148,196,130,2,0,4,1,0,0,333,0,1,334,0
149,509,80,1,0,5,0,2,5,602,0,11,613,0
150,495,130,5,0,0,0,0,4,634,0,8,642,0
151,140,315,8,1,36,0,0,2,502,0,10,512,0
152,110,167,3,0,51,0,0,2,333,0,2,335,0
153,365,276,9,3,0,3,2,7,665,0,38,703,0
154,285,383,9,5,12,0,2,9,705,0,13,718,0
155,446,186,11,1,1,1,2,2,650,0,6,656,0
156,404,200,4,0,3,1,1,8,621,0,9,630,0
157,194,381,10,2,18,5,6,15,631,0,18,649,0
158,293,283,10,1,0,0,1,3,591,0,17,608,0
159,307,312,7,3,2,4,1,16,652,0,17,669,0
160,347,359,7,1,5,1,0,5,725,0,11,736,0
161,200,300,4,1,2,2,2,3,514,0,11,525,0
162,567,216,8,0,0,1,0,2,794,0,7,801,0
163,191,211,3,2,4,0,1,2,414,0,9,423,0
164,266,400,19,7,5,1,5,10,713,0,16,729,0
165,131,207,4,1,3,1,2,3,352,0,5,357,0
166,219,341,2,0,0,0,2,12,576,0,4,580,0
167,138,581,8,3,16,5,4,9,764,0,15,779,0
168,197,197,7,2,2,0,1,6,412,0,14,426,0
169,143,291,6,4,2,2,5,6,459,0,6,465,0
170,463,149,8,4,4,2,2,3,635,0,39,674,0
171,285,84,11,3,2,1,2,8,396,0,29,425,0
172,313,101,6,2,1,4,3,8,438,0,20,458,0
173,259,79,8,3,2,2,8,13,374,0,33,407,0
174,208,101,2,0,2,2,2,6,323,0,27,350,0
175,294,98,7,6,3,3,7,8,426,0,55,481,0
176,331,119,3,3,1,0,5,2,464,0,23,487,0
177,177,204,13,4,3,1,5,6,413,0,8,421,0
178,185,182,11,1,3,3,2,6,393,0,13,406,0
179,270,114,10,3,0,0,0,1,398,0,14,412,0
180,175,134,7,4,0,0,1,4,325,0,9,334,0
181,264,246,5,4,4,0,1,5,529,0,14,543,0
182,153,193,7,6,0,1,3,2,365,0,5,370,0
183,122,172,6,0,0,0,3,7,310,0,3,313,0
184,102,88,1,0,1,0,0,0,192,0,3,195,0
185,79,228,0,0,0,0,1,2,310,0,3,313,0
186,344,324,8,1,0,0,1,6,684,0,12,696,0
187,219,267,13,1,3,0,2,5,510,0,8,518,0
188,215,344,11,1,1,0,1,11,584,0,8,592,0
189,348,185,7,2,0,0,2,8,552,0,11,563,0
190,90,313,5,0,0,1,0,10,419,0,3,422,0
191,235,176,4,0,2,3,1,7,428,0,5,433,0
192,180,58,3,0,1,0,0,1,243,0,1,244,0
193,186,232,4,1,0,0,0,2,425,0,1,426,0
194,334,303,6,4,1,0,5,8,661,0,12,673,0
195,344,159,4,2,1,2,2,5,519,0,10,529,0
196,322,313,10,1,0,0,1,3,650,0,5,655,0
197,185,455,16,1,1,0,4,4,666,0,6,672,0
198,237,75,2,1,1,0,0,1,317,0,10,327,0
199,217,176,3,0,5,1,1,2,405,0,6,411,0
200,284,292,9,0,2,0,5,4,596,0,18,614,0
201,231,97,5,1,1,0,0,1,336,0,5,341,0
202,234,193,5,1,0,1,2,3,439,0,3,442,0
203,281,265,4,0,2,0,2,4,558,0,5,563,0
204,202,303,8,2,2,4,2,14,537,0,16,553,0
205,207,338,1,2,4,2,4,5,563,0,9,572,0
206,171,321,10,1,3,0,1,9,516,0,9,525,0
207,146,380,6,0,1,2,2,7,544,0,10,554,0
208,167,263,6,0,1,1,2,0,440,0,2,442,0
209,124,196,1,1,2,0,1,9,334,0,4,338,0
210,220,239,9,1,0,1,0,3,473,0,5,478,0
211,136,310,14,4,2,2,4,6,478,0,13,491,0
212,187,263,8,0,0,1,1,4,464,0,9,473,0
213,330,368,15,5,3,1,2,11,735,0,15,750,0
214,233,176,4,0,3,1,1,4,422,0,9,431,0
215,175,250,4,0,0,2,1,6,438,0,10,448,0
216,166,286,4,2,0,3,3,7,471,0,14,485,0
217,192,195,4,0,0,1,1,8,401,0,6,407,0
218,335,218,14,4,21,4,2,11,609,0,15,624,0
219,114,159,10,2,3,2,1,4,295,0,12,307,0
220,106,216,8,0,3,1,5,9,348,0,10,358,0
221,371,265,8,7,2,3,3,10,669,0,21,690,0
222,451,289,14,2,2,3,4,14,779,0,26,805,0
223,243,183,2,1,1,2,4,4,440,0,14,454,0
224,250,110,7,2,0,3,2,2,376,0,11,387,0
225,199,357,4,1,2,1,1,4,569,0,7,576,0
226,212,224,5,0,0,1,0,2,444,0,6,450,0
227,301,366,4,3,3,1,7,5,690,0,6,696,0
228,320,304,8,1,1,4,2,11,651,0,14,665,0
