polling station,,,,,,,,,,,,,,,valid,rejected,NOTA,Total,tendered
121,815,32,0,0,0,0,8,1,0,0,0,0,0,0,856,0,4,860,0
122,808,26,0,0,1,0,18,0,0,0,0,0,0,0,853,0,5,858,0
123,767,30,3,0,1,0,10,0,0,0,1,0,0,0,812,0,8,820,0
124,810,41,1,2,1,0,9,1,1,0,4,1,2,4,877,0,11,888,0
125,256,43,1,0,2,0,2,0,0,0,0,0,1,1,306,0,1,307,0
126,375,277,2,1,0,1,8,0,0,1,0,0,0,4,669,0,8,677,0
127,429,294,1,1,0,0,6,0,1,1,1,0,1,1,736,0,8,744,0
128,56,523,2,1,0,0,3,0,0,0,0,0,1,0,586,0,6,592,0
129,386,121,13,0,0,0,12,0,0,0,0,0,0,0,532,0,7,539,0
130,385,270,3,0,0,0,11,0,1,0,0,0,0,0,670,0,4,674,0
131,193,424,4,1,1,1,5,1,1,2,0,2,4,1,640,0,8,648,0
132,559,21,0,0,0,0,6,0,0,0,0,1,0,2,589,0,4,593,0
133,140,115,8,0,0,2,1,1,0,0,0,1,1,1,270,0,3,273,0
134,587,25,1,2,0,0,13,0,0,0,0,0,0,0,628,0,3,631,0
135,445,51,0,0,1,0,3,0,0,9,2,0,1,1,513,0,6,519,0
136,763,80,1,1,0,0,13,0,0,0,0,0,0,2,860,0,2,862,0
137,669,44,0,0,0,0,19,0,0,0,0,0,0,0,732,0,4,736,0
138,120,394,6,1,0,0,5,0,0,0,1,0,0,1,528,0,3,531,0
139,248,284,46,0,0,0,8,2,0,0,2,0,0,0,590,0,14,604,0
140,417,265,1,3,0,0,3,0,0,0,1,1,2,1,694,0,6,700,0
141,615,234,5,0,0,0,4,0,0,1,0,0,1,1,861,0,13,874,0
142,479,192,8,1,0,0,4,1,1,0,2,2,1,2,693,0,21,714,0
143,150,217,7,0,0,0,4,0,0,0,0,0,1,2,381,0,1,382,0
144,185,307,5,1,0,0,3,0,0,1,1,1,2,0,506,0,5,511,0
145,262,378,8,1,0,0,8,0,2,1,0,1,1,0,662,0,10,672,0
146,151,348,1,0,1,0,1,1,0,0,1,2,1,0,507,0,7,514,0
147,118,512,4,2,0,0,5,0,1,0,0,0,0,1,643,0,3,646,0
148,224,395,8,0,0,1,7,0,0,1,0,1,1,3,641,0,3,644,0
149,116,383,3,0,0,2,2,0,0,0,0,2,1,5,514,0,3,517,0
150,254,212,1,0,0,0,29,0,0,0,0,0,1,0,497,0,1,498,0
151,56,543,1,0,1,0,13,1,0,1,0,0,1,0,617,0,5,622,0
152,121,566,4,1,0,0,8,1,1,0,0,1,2,2,707,0,4,711,0
153,55,473,2,0,0,1,12,1,0,0,0,1,1,2,548,0,7,555,0
154,42,623,3,0,1,1,11,1,0,0,0,2,1,0,685,0,1,686,0
155,68,573,7,1,1,0,4,0,1,0,0,0,0,2,657,0,6,663,0
156,83,490,4,0,1,0,3,2,0,0,0,0,1,1,585,0,8,593,0
157,94,635,3,0,0,0,3,0,0,0,0,1,0,0,736,0,13,749,0
158,70,520,0,0,0,0,6,0,0,0,0,0,0,0,596,0,7,603,0
159,141,624,2,2,0,0,8,2,0,0,4,1,1,2,787,0,7,794,0
160,57,767,1,0,0,0,4,0,0,0,0,0,1,4,834,0,4,838,0
161,103,647,6,0,0,0,16,0,0,0,0,1,0,3,776,0,8,784,0
162,170,577,6,1,1,0,12,0,1,0,1,0,2,3,774,0,8,782,0
163,146,454,2,0,2,2,8,1,0,0,1,0,2,1,619,0,8,627,0
164,117,518,10,0,0,0,6,2,2,0,3,1,5,3,667,0,6,673,0
165,512,174,3,1,0,0,11,0,1,0,0,2,0,0,704,0,14,718,0
166,119,653,3,1,3,0,5,0,0,0,0,1,0,1,786,0,9,795,0
167,132,405,1,2,1,0,3,0,1,0,2,0,0,3,550,0,3,553,0
168,106,221,3,1,0,1,4,0,2,1,2,1,3,2,347,0,8,355,0
169,225,502,3,1,0,0,8,1,0,2,0,0,3,1,746,0,10,756,0
170,271,134,4,0,1,1,3,0,1,2,1,2,6,6,432,0,19,451,0
171,263,286,4,1,1,0,3,0,0,1,2,2,2,5,570,0,12,582,0
172,357,296,3,2,1,0,6,1,0,1,1,2,3,2,675,0,26,701,0
173,46,439,1,0,0,0,4,0,0,2,1,0,1,0,494,0,4,498,0
174,117,439,4,1,0,0,3,0,1,0,1,1,2,4,573,0,7,580,0
175,154,527,10,0,2,0,11,1,0,1,1,1,4,4,716,0,11,727,0
176,337,393,11,1,0,0,4,1,2,0,0,0,3,10,762,0,12,774,0
177,165,460,2,0,1,0,8,0,0,1,0,0,1,2,640,0,7,647,0
178,55,804,3,0,1,1,11,3,0,0,0,0,0,2,880,0,4,884,0
179,82,795,1,1,2,1,5,1,0,1,1,2,1,2,895,0,5,900,0
180,110,634,3,1,0,2,7,1,0,2,0,2,1,2,765,0,10,775,0
181,155,327,2,0,2,0,1,0,3,2,0,2,2,2,498,0,13,511,0
182,69,482,2,3,2,1,3,0,0,0,0,1,4,0,567,0,6,573,0
183,182,281,3,0,1,0,4,1,0,0,0,0,3,2,477,0,11,488,0
184,100,366,18,2,2,1,6,0,1,2,1,1,0,3,503,0,17,520,0
185,353,219,4,2,1,0,11,0,1,0,1,2,2,4,600,0,12,612,0
186,196,240,3,0,1,0,3,1,1,1,0,0,1,4,451,0,5,456,0
187,277,361,2,3,1,0,3,0,0,0,1,3,0,5,656,0,11,667,0
188,140,325,2,0,2,0,5,0,2,0,1,3,6,3,489,0,12,501,0
189,169,474,3,0,0,0,3,0,1,1,0,1,1,1,654,0,7,661,0
190,47,429,2,1,1,0,2,1,0,0,0,0,0,1,484,0,2,486,0
191,156,490,7,0,0,0,4,1,0,2,4,2,4,11,681,0,19,700,0
192,57,537,9,0,0,0,21,0,0,0,0,1,1,1,627,0,2,629,0
193,165,458,3,0,2,2,7,0,0,0,1,2,3,2,645,0,6,651,0
194,43,309,2,0,0,0,0,0,2,0,0,0,4,1,361,0,2,363,0
195,116,359,7,2,1,0,6,2,1,2,3,6,0,3,508,0,18,526,0
196,71,578,2,0,0,0,5,0,0,0,0,0,1,3,660,0,8,668,0
197,488,277,10,2,1,2,9,5,1,2,1,2,3,3,806,0,16,822,0
198,266,311,8,0,3,0,6,1,0,1,0,0,0,4,600,0,5,605,0
199,337,289,10,0,1,1,11,0,1,0,3,0,0,2,655,0,10,665,0
200,379,227,3,1,1,2,2,0,0,1,2,2,3,6,629,0,19,648,0
201,135,192,1,1,1,1,2,0,1,0,1,0,1,2,338,0,2,340,0
202,233,528,7,3,0,1,1,0,0,3,0,1,1,3,781,0,6,787,0
203,115,460,7,1,0,0,11,1,0,1,2,3,4,5,610,0,9,619,0
204,78,433,0,2,0,0,3,0,0,0,2,1,1,3,523,0,10,533,0
205,81,685,1,0,1,0,8,1,0,0,2,0,0,1,780,0,10,790,0
206,103,462,2,1,0,2,4,0,0,0,1,1,2,0,578,0,14,592,0
207,74,473,1,0,0,0,6,0,0,0,0,0,1,0,555,0,3,558,0
208,71,623,3,0,1,0,3,1,0,1,1,0,0,2,706,0,6,712,0
209,84,635,3,0,0,0,8,1,1,0,1,1,0,3,737,0,6,743,0
210,111,274,3,0,0,0,11,0,0,1,0,1,0,4,405,0,10,415,0
211,215,631,4,1,0,0,26,0,0,1,1,1,1,3,884,0,15,899,0
212,69,702,5,1,1,0,8,1,0,1,1,2,1,2,794,0,9,803,0
213,108,800,3,0,0,1,7,0,0,0,0,0,1,2,922,0,10,932,0
214,42,416,1,0,0,0,5,0,0,0,1,2,1,0,468,0,5,473,0
215,41,328,0,0,0,0,6,0,0,0,2,0,1,1,379,0,5,384,0
216,424,260,7,0,0,0,9,0,0,1,0,0,1,3,705,0,5,710,0
217,40,475,5,0,0,0,11,1,0,0,0,1,0,1,534,0,7,541,0
218,50,574,1,1,0,0,2,0,0,0,0,2,1,3,634,0,2,636,0
219,43,725,2,0,0,0,10,0,0,1,0,0,1,0,782,0,11,793,0
220,76,652,6,0,0,0,17,1,0,0,1,0,2,0,755,0,6,761,0
221,60,434,2,0,0,0,3,0,0,2,0,0,1,1,503,0,2,505,0
222,101,378,2,0,0,0,5,0,1,0,1,0,0,1,489,0,6,495,0
223,204,500,4,0,1,0,6,2,1,0,1,2,2,2,725,0,9,734,0
224,95,690,6,0,1,0,8,0,3,0,0,1,1,1,806,0,5,811,0
225,20,282,1,0,0,0,1,0,0,0,0,0,0,1,305,0,1,306,0
226,41,607,4,2,0,1,2,1,0,0,2,0,1,2,663,0,6,669,0
227,68,728,2,0,0,1,4,1,0,0,0,0,1,0,805,0,3,808,0
228,74,589,1,0,0,0,1,0,0,0,0,0,0,0,665,0,4,669,0
